"NU_INSCRICAO","NU_IDADE","TP_SEXO","TP_COR_RACA","TP_ESCOLA","CO_UF_RESIDENCIA","SG_UF_PROVA","Q006","Q047","Q049","TP_PRESENCA_CN","TP_PRESENCA_CH","TP_PRESENCA_LC","TP_PRESENCA_MT","TP_STATUS_REDACAO","NU_NOTA_CN","NU_NOTA_CH","NU_NOTA_LC","NU_NOTA_MT","NU_NOTA_REDACAO","NOTA_FINAL_ENEM"
160000301384,23,"M",3,1,25,"PB","B","D","A",1,1,1,1,1,550,629.4,574,462.9,580,2796.3
160000000001,20,"M",1,1,41,"PR","D","D","A",1,1,1,1,1,576.6,669.8,610.1,423.6,560,2840.1
160000000002,21,"M",3,1,29,"BA","D","A","A",1,1,1,1,1,485.8,576.9,637.4,414.6,480,2594.7
160000000003,17,"M",1,1,15,"PA","B","E","A",1,1,1,1,1,571.4,628.6,646.2,709.4,620,3175.6
160000000005,20,"M",3,1,23,"CE","B","B","A",1,1,1,1,1,556.9,537.3,585.1,708.1,600,2987.4
160000000007,19,"F",1,1,23,"CE","J","D","A",1,1,1,1,1,734.3,698.1,650.4,798.7,980,3861.5
160000427445,23,"F",3,1,35,"SP","B","A","B",1,1,1,1,1,392.4,474.6,469.9,422.5,580,2339.4
160000427446,19,"M",3,1,33,"RJ","C","A","A",1,1,1,1,1,443.9,484.2,514.7,404.6,400,2247.4
160000427449,29,"M",1,1,24,"RN","M","D","A",1,1,1,1,1,460.1,582.1,585,551.6,480,2658.8
160000427451,60,"F",1,1,26,"PE","D","A","A",1,1,1,1,1,440.6,439.7,434.1,367.5,340,2021.9
160000427452,16,"F",3,1,32,"ES","H","D","A",1,1,1,1,1,632.7,648.1,602.5,722.5,760,3365.8
160000427454,20,"F",1,1,50,"MS","F","A","A",1,1,1,1,1,646.5,577.8,592.8,662.7,820,3299.8
160000427456,18,"F",1,1,52,"GO","B","A","A",1,1,1,1,1,610.3,626.9,594.2,509.9,480,2821.3
160000427457,21,"F",2,1,33,"RJ","H","E","A",1,1,1,1,1,637.4,661.4,630.8,543,720,3192.6
160000427458,18,"M",3,1,23,"CE","C","A","B",1,1,1,1,1,564.1,630.2,602.3,730.6,800,3327.2
160000427461,20,"F",2,1,26,"PE","B","A","A",1,1,1,1,1,517.3,529.9,450.1,529.7,540,2567
160000427462,24,"M",3,2,28,"SE","B","A","A",1,1,1,1,1,446.1,544.2,500.5,599.3,580,2670.1
160000427463,23,"F",1,1,51,"MT","C","A","B",1,1,1,1,1,521.7,605.2,566.3,449,700,2842.2
160000427464,23,"F",1,1,35,"SP","E","A","B",1,1,1,1,1,478.2,578.7,585.4,443.6,480,2565.9
160000427466,20,"F",1,1,22,"PI","D","A","A",1,1,1,1,1,418.6,536.1,564.7,488.3,560,2567.7
160000427467,17,"F",1,1,43,"RS","D","A","A",1,1,1,1,1,598.3,619.1,525.6,611.9,720,3074.9
160000427468,20,"F",1,1,35,"SP","D","A","B",1,1,1,1,1,422,544.9,629.2,513.6,620,2729.7
160000427469,26,"M",3,1,27,"AL","I","D","A",1,1,1,1,1,467.3,602.5,597,563.5,680,2910.3
160000427470,22,"F",1,1,33,"RJ","F","D","A",1,1,1,1,1,675.8,625.9,645.5,597.5,800,3344.7
160000427471,25,"M",1,1,41,"DF","I","A","A",1,1,1,1,1,687.1,637.8,594.9,870.5,720,3510.3
160000427472,20,"F",1,1,31,"MG","G","A","A",1,1,1,1,1,660.3,671.6,607.9,710.2,840,3490
160000427474,28,"F",1,1,41,"PR","E","A","C",1,1,1,1,1,405.9,556.5,546.7,431.2,420,2360.3
160008492987,23,"M",3,1,31,"MG","G","D","A",1,1,1,1,1,487.3,608,590.7,374.2,540,2600.2
160000427475,21,"M",2,1,29,"BA","E","A","A",1,1,1,1,1,541.7,557.7,526.4,360.5,700,2686.3
