"NU_INSCRICAO","NU_IDADE","TP_SEXO","TP_COR_RACA","TP_ESCOLA","CO_UF_RESIDENCIA","SG_UF_PROVA","Q006","Q047","Q049","TP_PRESENCA_CN","TP_PRESENCA_CH","TP_PRESENCA_LC","TP_PRESENCA_MT","TP_STATUS_REDACAO","NU_NOTA_CN","NU_NOTA_CH","NU_NOTA_LC","NU_NOTA_MT","NU_NOTA_REDACAO","NOTA_FINAL_ENEM"
160004048146,18,"M",1,1,31,"MG","Q","D","A",1,1,1,1,1,828.1,820.1,705.3,974.7,960,4288.2
160003362255,17,"M",1,3,35,"SP","K","E","A",1,1,1,1,1,757.7,794,774.7,966.6,980,4273
160002532168,18,"M",1,3,31,"MG","L","D","A",1,1,1,1,1,790.7,815.6,710.6,973.8,980,4270.7
160002438884,17,"M",1,3,23,"CE","O","D","A",1,1,1,1,1,819.2,797.7,740.9,932.1,980,4269.9
160002123951,17,"M",3,3,21,"MA","P","D","A",1,1,1,1,1,836.6,859.1,684.9,981.6,900,4262.2
160003380287,17,"M",1,3,33,"RJ","O","D","A",1,1,1,1,1,766.3,788.6,769.5,976.6,960,4261
160004413733,18,"M",3,3,27,"AL","Q","D","A",1,1,1,1,1,871.3,802.9,789.8,976.6,820,4260.6
160000197094,18,"F",3,3,31,"MG","H","E","A",1,1,1,1,1,805.6,799.3,732.8,961.9,960,4259.6
160004804336,20,"F",3,1,33,"RJ","P","D","A",1,1,1,1,1,755.7,839.2,715.7,936.5,1000,4247.1
160002333573,17,"M",1,3,52,"GO","Q","D","A",1,1,1,1,1,871.3,794,708.8,965.3,900,4239.4
160002409311,17,"M",3,3,22,"PI","P","D","A",1,1,1,1,1,787.3,752,715.9,983.1,1000,4238.3
160000664666,17,"M",1,3,52,"GO","P","D","A",1,1,1,1,1,815.9,789.5,704.9,943.7,980,4234
160001169631,19,"M",3,1,28,"SE","Q","D","A",1,1,1,1,1,836.2,815.9,658.7,942.2,980,4233
160000602614,21,"M",4,1,35,"SP","P","D","A",1,1,1,1,1,812.4,827.8,676.3,975.3,940,4231.8
160003365930,18,"M",1,3,31,"MG","C","E","A",1,1,1,1,1,861.4,751.7,692.6,945.8,980,4231.5
160000707017,18,"M",1,3,23,"CE","O","E","A",1,1,1,1,1,845.1,734.5,713.4,957.6,980,4230.6
160008056525,17,"M",1,3,35,"SP","L","D","A",1,1,1,1,1,829.7,750.7,733.7,973.7,940,4227.8
