"NU_INSCRICAO","NU_IDADE","TP_SEXO","TP_COR_RACA","TP_ESCOLA","CO_UF_RESIDENCIA","SG_UF_PROVA","Q006","Q047","Q049","TP_PRESENCA_CN","TP_PRESENCA_CH","TP_PRESENCA_LC","TP_PRESENCA_MT","TP_STATUS_REDACAO","NU_NOTA_CN","NU_NOTA_CH","NU_NOTA_LC","NU_NOTA_MT","NU_NOTA_REDACAO","NOTA_FINAL_ENEM"
160000380753,36,"M",1,1,35,"SP","K","D","A",1,1,1,1,1,766.4,859.1,656.4,642.3,940,3864.2
160002123951,17,"M",3,3,21,"MA","P","D","A",1,1,1,1,1,836.6,859.1,684.9,981.6,900,4262.2
160001903067,17,"M",1,3,25,"PB","P","D","A",1,1,1,1,1,785.7,859.1,707.9,944.9,800,4097.6
160002769914,30,"M",1,1,23,"CE","L","D","A",1,1,1,1,1,645.7,859.1,707.3,728.4,800,3740.5
160000962933,17,"M",1,3,52,"GO","G","D","A",1,1,1,1,1,774.2,859.1,770.6,929.9,780,4113.8
160003585882,21,"M",1,1,29,"BA","C","C","B",1,1,1,1,1,835.8,859.1,533.5,762,740,3730.4
160004431635,20,"M",1,1,33,"RJ","Q","D","B",1,1,1,1,1,821.7,859.1,708.8,885.3,880,4154.9
160005207344,31,"M",1,1,25,"PB","Q","D","A",1,1,1,1,1,737.9,859.1,674.7,837.3,960,4069
160005258103,20,"M",3,1,28,"SE","D","A","A",1,1,1,1,1,843.9,859.1,536.1,552.4,720,3511.5
160006943500,17,"M",3,3,31,"MG","Q","D","B",1,1,1,1,1,782.9,859.1,677,853.8,680,3852.8
160006784792,39,"F",1,1,29,"BA","Q","D","A",1,1,1,1,1,685.4,859.1,662,776.8,820,3803.3
160001319986,17,"F",1,3,35,"SP","Q","D","A",1,1,1,1,1,707.5,850.6,695.2,851.4,880,3984.7
160000633092,18,"F",1,1,43,"RS","L","D","A",1,1,1,1,1,742.1,850.6,651.4,823.6,920,3987.7
160000635687,18,"F",1,1,26,"PE","H","D","A",1,1,1,1,1,694.9,850.6,713.4,864.4,760,3883.3
160000308789,17,"F",1,3,23,"CE","D","D","A",1,1,1,1,1,763.9,850.6,716.6,833.1,900,4064.2
160000913091,32,"M",3,1,21,"MA","D","A","B",1,1,1,1,1,845,850.6,441.8,440.7,340,2918.1
160002746966,28,"M",3,1,21,"MA","I","A","A",1,1,1,1,1,871.3,850.6,499.1,633.7,740,3594.7
160001262638,18,"M",1,3,31,"MG","G","D","A",1,1,1,1,1,703.2,850.6,679.8,618.6,760,3612.2
160003522853,26,"M",1,1,35,"SP","E","D","A",1,1,1,1,1,767.5,850.6,674.6,698.4,840,3831.1
160003954234,19,"M",1,1,21,"MA","H","D","A",1,1,1,1,1,751.7,850.6,662.1,834.1,940,4038.5
160004269594,20,"M",3,1,25,"PB","G","D","A",1,1,1,1,1,871.3,850.6,438.2,436.3,520,3116.4
160005388302,19,"M",3,1,22,"PI","H","E","B",1,1,1,1,1,738.3,850.6,673.7,777.9,920,3960.5
160000688948,33,"M",1,1,31,"MG","E","D","B",1,1,1,1,1,646,850.1,662.4,726.9,860,3745.4
160007385766,41,"M",3,1,33,"RJ","J","A","A",1,1,1,1,1,643.2,850.1,665.9,616.9,820,3596.1
160000856309,17,"F",1,3,41,"PR","Q","D","A",1,1,1,1,1,771.4,848.5,722.1,838.8,840,4020.8
160002382837,17,"F",1,3,31,"MG","Q","D","A",1,1,1,1,1,789.2,848.5,672.2,854.1,840,4004
160000656006,20,"F",1,1,35,"SP","I","D","A",1,1,1,1,1,791.9,848.5,713.5,842,920,4115.9
160002554848,17,"M",4,3,35,"SP","Q","D","A",1,1,1,1,1,773,848.5,734.5,904.4,960,4220.4
160003119721,18,"M",1,1,53,"DF","I","D","A",1,1,1,1,1,784,848.5,661.5,928.8,920,4142.8
160004237529,18,"M",4,1,35,"SP","K","D","A",1,1,1,1,1,817.3,847.5,691.9,913.4,800,4070.1
160006261733,18,"M",3,1,23,"CE","J","E","A",1,1,1,1,1,805.5,847.5,690.8,880.3,800,4024.1
160001488474,18,"M",1,3,31,"MG","P","D","A",1,1,1,1,1,753.7,847.3,672.8,889.4,940,4103.2
160002069499,45,"M",0,1,53,"DF","Q","A","B",1,1,1,1,1,666.6,847.3,651.9,887.1,780,3832.9
160001619103,19,"M",1,1,43,"RS","O","D","A",1,1,1,1,1,671,847.3,714.3,663.3,820,3715.9
160003771455,20,"M",1,1,35,"SP","N","D","A",1,1,1,1,1,738.1,847.3,670.7,931.2,940,4127.3
160004699131,19,"F",1,1,15,"PA","J","D","A",1,1,1,1,1,688.7,847.3,681,785.8,880,3882.8
160001441804,18,"M",1,1,31,"MG","O","D","A",1,1,1,1,1,743,843.9,724.1,893.3,920,4124.3
160000243961,22,"F",3,1,23,"CE","P","D","A",1,1,1,1,1,744.5,841.9,658.6,749.4,880,3874.4
160000873308,39,"M",1,1,35,"SP","Q","D","A",1,1,1,1,1,767.9,841.9,701.8,757.7,880,3949.3
160003763072,19,"M",1,1,23,"CE","E","D","A",1,1,1,1,1,688.2,841.9,664.9,794.1,800,3789.1
160003914084,22,"F",1,1,35,"SP","I","D","A",1,1,1,1,1,672.1,841.9,713.2,712.7,920,3859.9
160004270510,19,"F",1,1,29,"BA","P","D","A",1,1,1,1,1,736,841.9,649.4,810.6,980,4017.9
160006226921,22,"F",1,1,35,"SP","J","E","A",1,1,1,1,1,690.1,841.9,690.1,737.9,900,3860
160000568729,19,"M",1,1,35,"SP","Q","E","A",1,1,1,1,1,770.3,840.4,661.6,971,880,4123.3
160002420989,17,"F",1,3,33,"RJ","P","D","A",1,1,1,1,1,723.6,840.4,685.9,780.4,840,3870.3
160000864203,25,"M",1,1,35,"SP","F","C","A",1,1,1,1,1,699.8,840.4,673.4,839.9,620,3673.5
160000696714,17,"M",0,3,31,"MG","I","D","A",1,1,1,1,1,768.5,840.4,672.4,911.8,960,4153.1
160003302184,25,"F",1,1,35,"SP","M","D","A",1,1,1,1,1,730.3,840.4,639.4,781.4,880,3871.5
160003370154,18,"F",1,3,31,"MG","Q","D","A",1,1,1,1,1,797.6,840.4,659.2,869.3,800,3966.5
160003847893,23,"F",4,1,35,"SP","N","D","A",1,1,1,1,1,708.2,840.4,675.1,830.4,940,3994.1
160004649352,20,"M",3,1,22,"PI","J","D","A",1,1,1,1,1,725.2,840.4,742.4,682.3,900,3890.3
160005261943,20,"M",1,1,35,"SP","Q","D","A",1,1,1,1,1,673.1,840.4,698.2,758.5,940,3910.2
160007000031,28,"M",0,1,35,"SP","Q","D","A",1,1,1,1,1,688.1,840.4,755.9,762.7,840,3887.1
160001220642,16,"F",3,3,28,"SE","G","D","A",1,1,1,1,1,750.1,839.5,571.5,817.5,920,3898.6
160001664016,18,"M",3,1,31,"MG","H","D","A",1,1,1,1,1,668.5,839.5,674.1,748.7,880,3810.8
160000083450,19,"F",1,1,35,"SP","P","D","A",1,1,1,1,1,746.7,839.5,701.4,840.6,800,3928.2
160006282810,18,"M",1,1,35,"SP","P","D","A",1,1,1,1,1,704.7,839.5,641.3,792.3,800,3777.8
160006724484,35,"M",1,1,53,"DF","P","D","A",1,1,1,1,1,762.1,839.5,700.7,866.2,660,3828.5
160000204623,19,"M",1,1,41,"PR","K","D","A",1,1,1,1,1,707,839.3,684.8,722.3,900,3853.4
160002957544,18,"M",4,1,35,"SP","Q","D","A",1,1,1,1,1,800.4,839.3,712.3,936.3,920,4208.3
160000111286,18,"M",1,1,42,"SC","D","A","A",1,1,1,1,1,695,839.2,688.8,744.2,880,3847.2
160001788242,22,"F",0,1,43,"RS","M","A","A",1,1,1,1,1,775.9,839.2,720.5,881.3,940,4156.9
160002521954,23,"M",2,1,21,"MA","C","A","A",1,1,1,1,1,674.3,839.2,626.6,776.3,840,3756.4
160001045723,26,"F",3,1,28,"SE","L","D","A",1,1,1,1,1,759.7,839.2,703.9,844.2,880,4027
160001168944,18,"M",1,3,33,"RJ","L","E","A",1,1,1,1,1,796.9,839.2,678.6,953.2,680,3947.9
160001682565,19,"M",4,1,35,"SP","Q","D","A",1,1,1,1,1,812.1,839.2,670.5,931.5,920,4173.3
160001685732,19,"F",1,1,53,"DF","Q","D","A",1,1,1,1,1,743.3,839.2,653.7,836.3,800,3872.5
160004804336,20,"F",3,1,33,"RJ","P","D","A",1,1,1,1,1,755.7,839.2,715.7,936.5,1000,4247.1
160006114996,29,"M",2,1,29,"BA","P","D","A",1,1,1,1,1,604.1,839.2,720,593.6,860,3616.9
160006633960,17,"M",1,3,43,"RS","Q","D","A",1,1,1,1,1,688.4,838.7,661.1,890.1,720,3798.3
160001629353,31,"M",0,1,51,"MT","G","D","A",1,1,1,1,1,691.9,838.6,686.8,606,840,3663.3
160007746619,30,"M",1,1,53,"DF","Q","D","A",1,1,1,1,1,676.4,838.5,665.8,760.7,800,3741.4
