"NU_INSCRICAO","NU_IDADE","TP_SEXO","TP_COR_RACA","TP_ESCOLA","CO_UF_RESIDENCIA","SG_UF_PROVA","Q006","Q047","Q049","TP_PRESENCA_CN","TP_PRESENCA_CH","TP_PRESENCA_LC","TP_PRESENCA_MT","TP_STATUS_REDACAO","NU_NOTA_CN","NU_NOTA_CH","NU_NOTA_LC","NU_NOTA_MT","NU_NOTA_REDACAO","NOTA_FINAL_ENEM"
160001504420,20,"M",1,1,35,"PR","O","D","A",1,1,1,1,1,871.3,743.8,629.5,939.7,780,3964.3
160002333573,17,"M",1,3,52,"GO","Q","D","A",1,1,1,1,1,871.3,794,708.8,965.3,900,4239.4
160000178736,26,"M",3,1,31,"MG","B","A","B",1,1,1,1,1,871.3,820.9,675.3,990.5,860,4218
160002014149,18,"F",4,1,35,"SP","O","E","A",1,1,1,1,1,871.3,768.7,736.4,874.9,840,4091.3
160002322752,18,"M",3,2,32,"ES","K","A","A",1,1,1,1,1,871.3,687.8,714.1,822.2,860,3955.4
160000259182,17,"M",3,3,23,"CE","N","D","A",1,1,1,1,1,871.3,743.1,689.3,963.2,900,4166.9
160002408767,17,"M",1,3,35,"SP","Q","D","A",1,1,1,1,1,871.3,776.1,758.6,878.8,940,4224.8
160002798322,19,"M",4,1,35,"SP","K","D","A",1,1,1,1,1,871.3,746.7,693.7,944.6,960,4216.3
160002746966,28,"M",3,1,21,"MA","I","A","A",1,1,1,1,1,871.3,850.6,499.1,633.7,740,3594.7
160002713975,18,"M",3,1,28,"SE","P","D","A",1,1,1,1,1,871.3,751.4,642.9,902.4,920,4088
160000977531,20,"M",1,1,35,"SP","O","D","A",1,1,1,1,1,871.3,742.6,723.8,895.6,760,3993.3
160002665954,18,"M",0,1,35,"SP","O","D","A",1,1,1,1,1,871.3,730.1,672.2,911.9,960,4145.5
160003009244,17,"M",1,3,28,"SE","Q","D","A",1,1,1,1,1,871.3,753.2,630.2,834,960,4048.7
160003431130,20,"M",1,1,35,"SP","O","E","A",1,1,1,1,1,871.3,784.3,712.6,802.3,1000,4170.5
160003400038,18,"M",3,1,35,"SP","G","E","B",1,1,1,1,1,871.3,725.6,662.7,886.6,960,4106.2
160003256357,17,"M",3,3,53,"DF","P","E","A",1,1,1,1,1,871.3,779.7,682.2,956.9,760,4050.1
160003699151,18,"M",3,3,26,"PE","O","D","A",1,1,1,1,1,871.3,797.5,666.5,899.1,960,4194.4
160003654294,19,"F",3,1,29,"SP","N","D","A",1,1,1,1,1,871.3,771,669.3,932.8,880,4124.4
160004108654,22,"M",2,1,31,"MG","D","A","A",1,1,1,1,1,871.3,753.4,376.7,639.8,600,3241.2
160004269594,20,"M",3,1,25,"PB","G","D","A",1,1,1,1,1,871.3,850.6,438.2,436.3,520,3116.4
160004413733,18,"M",3,3,27,"AL","Q","D","A",1,1,1,1,1,871.3,802.9,789.8,976.6,820,4260.6
160004397189,20,"M",1,1,53,"DF","O","D","A",1,1,1,1,1,871.3,823.6,709.4,862.7,920,4187
160004707089,25,"M",3,1,21,"MA","D","A","B",1,1,1,1,1,871.3,820.9,509.8,466.2,400,3068.2
160005021184,20,"M",2,1,21,"MA","B","E","A",1,1,1,1,1,871.3,780.6,494.5,565.1,420,3131.5
160005194323,20,"F",4,1,42,"SC","Q","D","A",1,1,1,1,1,871.3,754.6,642.4,836.4,940,4044.7
160004857876,18,"M",1,1,31,"MG","J","D","A",1,1,1,1,1,871.3,781.1,687.4,964.5,840,4144.3
160005519017,20,"F",3,1,21,"MA","E","A","A",1,1,1,1,1,871.3,754.5,532.7,638.1,680,3476.6
160005435087,22,"M",3,1,53,"DF","P","D","A",1,1,1,1,1,871.3,765.3,698,897.9,780,4012.5
160006533678,17,"M",1,3,52,"GO","P","D","A",1,1,1,1,1,871.3,728.8,722,976.6,720,4018.7
160006671345,23,"M",0,1,24,"RN","C","C","A",1,1,1,1,1,871.3,820.9,595.5,379.7,840,3507.4
160000369220,17,"M",1,3,23,"CE","N","E","A",1,1,1,1,1,862.4,721.8,685.9,935.6,980,4185.7
160000104602,20,"F",1,1,33,"RJ","D","A","B",1,1,1,1,1,862.4,690.4,642.8,803.8,920,3919.4
160004601542,18,"M",1,3,35,"SP","Q","D","A",1,1,1,1,1,862.4,767.3,689,948.5,900,4167.2
160002377124,17,"F",1,3,31,"MG","P","D","A",1,1,1,1,1,861.4,776.3,659.8,991.5,880,4169
160002331072,19,"M",1,1,23,"CE","K","D","A",1,1,1,1,1,861.4,703.8,652.4,977.6,840,4035.2
160002781080,18,"M",3,2,32,"ES","M","A","A",1,1,1,1,1,861.4,737.7,694.7,884.3,840,4018.1
160000731732,19,"M",1,1,35,"SP","F","A","A",1,1,1,1,1,861.4,732.2,671.2,811.5,660,3736.3
160002310675,21,"M",1,1,35,"SP","P","D","A",1,1,1,1,1,861.4,776.8,673.8,819.5,900,4031.5
160003365930,18,"M",1,3,31,"MG","C","E","A",1,1,1,1,1,861.4,751.7,692.6,945.8,980,4231.5
160003838289,20,"M",1,1,32,"ES","E","A","A",1,1,1,1,1,861.4,814.4,412.7,482.6,760,3331.1
160004272038,23,"M",1,1,41,"PR","F","E","B",1,1,1,1,1,861.4,785.3,618.7,805.9,900,3971.3
160003509645,17,"M",3,3,31,"MG","I","B","A",1,1,1,1,1,853.9,723,710,876,800,3962.9
160007353184,20,"M",1,1,35,"SP","N","D","A",1,1,1,1,1,853,704.7,670.7,830.1,780,3838.5
160000464231,19,"M",4,1,35,"SP","G","D","A",1,1,1,1,1,852.5,767.8,710.8,906.8,880,4117.9
160006548453,17,"M",1,1,52,"GO","O","E","A",1,1,1,1,1,852.5,688.4,654.5,914.1,960,4069.5
160002039049,18,"F",3,1,31,"MG","G","E","A",1,1,1,1,1,851.8,795.3,627.5,722.8,800,3797.4
160006536417,19,"F",1,1,29,"BA","C","D","A",1,1,1,1,1,851.8,795.3,652.8,751.3,900,3951.2
160005936764,23,"F",1,1,33,"RJ","D","D","A",1,1,1,1,1,850.8,720.4,626.5,799.3,840,3837
160000810801,17,"M",1,3,35,"MS","O","D","A",1,1,1,1,1,849.6,721.7,687.9,937.8,920,4117
160002003194,17,"M",1,3,52,"GO","P","D","A",1,1,1,1,1,849.6,716.2,718.4,979,820,4083.2
160001015003,19,"M",1,1,52,"GO","H","D","A",1,1,1,1,1,848.5,819.7,647.6,853.7,700,3869.5
160004609268,18,"F",3,1,52,"GO","G","D","A",1,1,1,1,1,848,758.6,672.8,921.6,780,3981
160002338256,19,"F",1,1,35,"SP","O","D","A",1,1,1,1,1,847.5,783.8,687.2,980.4,840,4138.9
160003239235,18,"M",2,1,31,"MG","K","D","A",1,1,1,1,1,847.5,754,687.2,961.7,940,4190.4
160002208286,16,"M",1,3,35,"SP","H","D","A",1,1,1,1,1,845.9,742.8,699,904.6,760,3952.3
160006805385,17,"M",1,3,35,"SP","H","D","A",1,1,1,1,1,845.9,695.1,696,928.9,920,4085.9
160000707017,18,"M",1,3,23,"CE","O","E","A",1,1,1,1,1,845.1,734.5,713.4,957.6,980,4230.6
160000913091,32,"M",3,1,21,"MA","D","A","B",1,1,1,1,1,845,850.6,441.8,440.7,340,2918.1
160002062753,19,"M",3,1,29,"BA","I","E","A",1,1,1,1,1,843.9,757.9,664.7,934,900,4100.5
160002788268,18,"M",1,1,53,"ES","Q","D","A",1,1,1,1,1,843.9,738.8,622.5,975.3,800,3980.5
160002744294,19,"F",4,1,35,"SP","N","D","A",1,1,1,1,1,843.9,757.1,675.4,943.9,840,4060.3
160003284465,17,"M",3,3,32,"ES","I","E","A",1,1,1,1,1,843.9,825.8,678.9,918.6,960,4227.2
160003481294,19,"M",1,1,35,"SP","Q","D","A",1,1,1,1,1,843.9,738.5,659.5,930.7,960,4132.6
160005258103,20,"M",3,1,28,"SE","D","A","A",1,1,1,1,1,843.9,859.1,536.1,552.4,720,3511.5
160008332735,22,"M",2,1,31,"MG","C","A","A",1,1,1,1,1,843.9,787.4,421.8,600.3,640,3293.4
160004192095,18,"M",1,1,35,"SP","P","D","A",1,1,1,1,1,843.8,770,686.8,959.8,880,4140.4
160000435075,20,"M",1,1,53,"DF","O","D","A",1,1,1,1,1,843.3,738.8,645.7,852.5,940,4020.3
160000021018,18,"M",1,1,24,"PB","Q","D","A",1,1,1,1,1,843.3,714.1,687.7,911.8,920,4076.9
160003279549,20,"M",1,1,35,"SP","I","D","A",1,1,1,1,1,843.3,700.2,672.4,925.7,640,3781.6
160003275544,20,"M",1,1,31,"SP","B","C","A",1,1,1,1,1,843.3,703,710.3,893.5,920,4070.1
160000081819,19,"M",1,1,35,"SP","Q","D","A",1,1,1,1,1,843.2,792.1,708,843.1,600,3786.4
160001528147,17,"M",3,3,35,"SP","K","D","A",1,1,1,1,1,843.1,751.5,693.2,954.9,760,4002.7
160003755574,19,"M",1,1,35,"SP","J","D","A",1,1,1,1,1,843.1,722.2,657.3,850.6,920,3993.2
160000557162,22,"M",3,1,29,"BA","G","A","A",1,1,1,1,1,841.5,820.9,572.9,715.8,760,3711.1
160002122811,18,"M",3,1,23,"CE","N","D","A",1,1,1,1,1,841.5,669.5,632.2,929.2,760,3832.4
160000479994,17,"M",1,3,23,"CE","P","D","A",1,1,1,1,1,841.5,719.3,674,945.7,880,4060.5
160002830356,17,"M",1,2,31,"MG","L","A","A",1,1,1,1,1,841.5,693.6,654.5,938.5,780,3908.1
160001502218,18,"M",1,3,35,"SP","Q","D","A",1,1,1,1,1,841.5,709.4,711.1,898.9,920,4080.9
160001848282,17,"M",1,3,35,"SP","K","E","A",1,1,1,1,1,841.5,722,693.4,991.5,820,4068.4
160002951648,19,"F",0,1,35,"SP","Q","D","A",1,1,1,1,1,841.5,727.9,677.2,900.1,680,3826.7
160005663407,17,"F",1,3,35,"SP","I","D","A",1,1,1,1,1,841.5,751.9,712.6,946.7,800,4052.7
160005561426,17,"M",1,3,35,"SP","Q","D","A",1,1,1,1,1,841.1,753.7,695.1,975.3,960,4225.2
160000904877,18,"M",1,3,35,"SP","E","D","A",1,1,1,1,1,840.8,736.8,682.6,902.2,960,4122.4
160005576999,17,"M",1,3,33,"RJ","G","D","A",1,1,1,1,1,840.1,771.4,675.6,938.2,940,4165.3
160003739803,18,"M",4,1,35,"SP","P","D","A",1,1,1,1,1,840,738.8,690.9,833.6,900,4003.3
160001330930,21,"F",1,1,35,"SP","Q","D","A",1,1,1,1,1,839.9,789.7,695.9,797.2,760,3882.7
160002073633,18,"M",3,3,26,"PE","M","E","A",1,1,1,1,1,838.7,720,724.5,868.9,880,4032.1
160002496959,30,"M",1,1,35,"SP","N","D","A",1,1,1,1,1,838.7,721.6,608.8,939.2,700,3808.3
160000227240,16,"M",1,1,23,"CE","Q","E","B",1,1,1,1,1,838.7,676.7,693.2,937.9,720,3866.5
160002610330,19,"M",3,1,29,"BA","L","D","A",1,1,1,1,1,838.7,689.1,693.6,765.7,900,3887.1
160000980357,20,"F",3,1,35,"SP","Q","D","A",1,1,1,1,1,838.7,755.5,700.3,952.7,760,4007.2
160000694095,18,"M",1,1,35,"SP","K","D","A",1,1,1,1,1,838.7,653.4,639,662.6,760,3553.7
160002976120,19,"M",1,1,31,"MG","Q","D","A",1,1,1,1,1,838.7,796.1,636.6,907.6,940,4119
160003571391,34,"M",1,1,35,"SP","D","B","A",1,1,1,1,1,838.7,765.3,649.7,936,720,3909.7
160003463662,20,"M",1,1,35,"SP","F","A","A",1,1,1,1,1,838.7,794.4,648.1,814.2,940,4035.4
160003531763,20,"M",1,1,35,"SP","Q","D","A",1,1,1,1,1,838.7,716.1,679.7,822.3,800,3856.8
160003562663,21,"M",3,1,35,"SP","J","A","A",1,1,1,1,1,838.7,732.3,732.4,951.9,880,4135.3
160004157042,20,"M",1,1,35,"SP","Q","D","A",1,1,1,1,1,838.7,735,671.5,893,740,3878.2
160004793543,22,"F",1,1,35,"SP","E","D","A",1,1,1,1,1,838.7,778.3,682.5,845.2,860,4004.7
160005945751,17,"M",1,3,41,"PR","Q","D","A",1,1,1,1,1,838.7,783.6,706.7,974.7,800,4103.7
160001331889,19,"M",1,1,35,"SP","J","D","A",1,1,1,1,1,837.6,679.1,633.4,956.2,840,3946.3
160001262622,20,"M",1,1,35,"SP","C","B","A",1,1,1,1,1,837.6,683,661.4,801.4,800,3783.4
160002123951,17,"M",3,3,21,"MA","P","D","A",1,1,1,1,1,836.6,859.1,684.9,981.6,900,4262.2
160005137466,18,"M",1,3,35,"SP","H","E","A",1,1,1,1,1,836.6,783.4,685,903.4,820,4028.4
160000357786,19,"M",1,1,33,"RJ","J","D","A",1,1,1,1,1,836.2,730.8,673.2,902,900,4042.2
160001169631,19,"M",3,1,28,"SE","Q","D","A",1,1,1,1,1,836.2,815.9,658.7,942.2,980,4233
160001885605,17,"M",3,3,26,"PE","E","D","A",1,1,1,1,1,836.2,732.6,596.9,817.1,940,3922.8
160000194811,34,"M",3,1,53,"DF","P","A","A",1,1,1,1,1,836.2,744.7,668.3,908.9,780,3938.1
160000879971,22,"M",1,1,35,"SP","P","D","A",1,1,1,1,1,836.2,733.4,674.1,804.3,800,3848
160002067326,19,"M",3,1,53,"DF","P","E","A",1,1,1,1,1,836.2,812.4,718.7,951,900,4218.3
160006912096,19,"M",3,1,52,"GO","N","D","A",1,1,1,1,1,836.1,669.1,638.6,793.4,560,3497.2
160001385391,25,"F",4,1,35,"SP","I","D","A",1,1,1,1,1,835.8,704.1,660.8,898.6,840,3939.3
