"NU_INSCRICAO","NU_IDADE","TP_SEXO","TP_COR_RACA","TP_ESCOLA","CO_UF_RESIDENCIA","SG_UF_PROVA","Q006","Q047","Q049","TP_PRESENCA_CN","TP_PRESENCA_CH","TP_PRESENCA_LC","TP_PRESENCA_MT","TP_STATUS_REDACAO","NU_NOTA_CN","NU_NOTA_CH","NU_NOTA_LC","NU_NOTA_MT","NU_NOTA_REDACAO","NOTA_FINAL_ENEM"
160006921173,17,"M",3,2,31,"MG","P","A","B",1,1,1,1,1,740.4,707.4,802.6,806.3,640,3696.7
160006452671,21,"F",3,1,22,"PI","G","D","A",1,1,1,1,1,746.9,680.1,795.1,866,780,3868.1
160004413733,18,"M",3,3,27,"AL","Q","D","A",1,1,1,1,1,871.3,802.9,789.8,976.6,820,4260.6
160003798462,17,"F",1,3,41,"PR","I","D","A",1,1,1,1,1,647.7,676.8,788.3,780.2,940,3833
160002333823,19,"F",1,1,33,"RJ","G","D","A",1,1,1,1,1,703.1,778.6,786.2,767.2,780,3815.1
160002737367,20,"F",0,1,33,"RJ","Q","D","B",1,1,1,1,1,735.7,737.1,782.6,923.4,760,3938.8
160000236178,17,"F",1,3,35,"SP","Q","D","A",1,1,1,1,1,757.5,755.6,781.1,893.2,980,4167.4
160000982784,21,"F",3,1,31,"MG","I","A","A",1,1,1,1,1,711.9,692.4,780.9,850.1,660,3695.3
160005000558,18,"F",1,3,29,"BA","Q","D","A",1,1,1,1,1,699.7,726.6,780.3,799.3,940,3945.9
160006901238,37,"M",0,1,24,"RN","I","A","A",1,1,1,1,1,514.3,747.1,777.8,626.6,760,3425.8
160006949529,37,"M",3,1,33,"RJ","F","A","C",1,1,1,1,1,714.3,744,777.7,734.1,680,3650.1
160000424221,22,"M",1,1,53,"DF","Q","D","A",1,1,1,1,1,810.3,781,777.6,937.9,840,4146.8
160000014830,19,"M",1,1,52,"GO","G","D","A",1,1,1,1,1,757.4,735.5,777.5,839.5,840,3949.9
160000523690,19,"M",1,1,41,"SC","D","D","A",1,1,1,1,1,773.1,784.9,777.5,887.4,960,4182.9
160000962643,18,"F",1,1,52,"GO","K","D","A",1,1,1,1,1,734.1,697.7,777.5,765.6,720,3694.9
160003362255,17,"M",1,3,35,"SP","K","E","A",1,1,1,1,1,757.7,794,774.7,966.6,980,4273
160000824198,17,"M",1,3,35,"SP","J","D","A",1,1,1,1,1,707.4,757,774.4,853.8,920,4012.6
160000770634,19,"F",1,1,33,"RJ","O","D","A",1,1,1,1,1,671.3,707.4,774.2,732.9,720,3605.8
160007497891,19,"F",3,1,52,"GO","H","D","A",1,1,1,1,1,613.6,691.6,774.2,546.6,920,3546
160002776532,17,"F",3,1,21,"MA","N","D","A",1,1,1,1,1,550.6,692.2,774.1,394.5,880,3291.4
160003451899,19,"F",1,1,35,"SP","J","D","A",1,1,1,1,1,745.4,776.7,774.1,818,800,3914.2
160001227818,17,"M",1,3,31,"MG","I","D","A",1,1,1,1,1,831.6,783.1,773.7,991.5,820,4199.9
160004394018,21,"F",3,1,31,"MG","D","A","A",1,1,1,1,1,640.1,725.4,772.7,462.1,600,3200.3
160007540164,21,"F",3,1,23,"CE","J","C","A",1,1,1,1,1,778.4,672.9,772.6,909.7,800,3933.6
160007690648,19,"M",1,1,43,"RS","C","D","A",1,1,1,1,1,640.4,746.9,772.6,646.6,440,3246.5
160002697891,25,"F",1,1,41,"PR","J","D","A",1,1,1,1,1,710,711.3,771.6,788.4,800,3781.3
160003846604,23,"F",1,1,33,"RJ","Q","D","A",1,1,1,1,1,596.8,764.7,771.5,738.9,860,3731.9
160006216989,16,"F",1,1,35,"SP","N","E","A",1,1,1,1,1,677.2,709.6,771.3,626.7,780,3564.8
160003602890,18,"F",4,1,35,"SP","I","D","A",1,1,1,1,1,730.3,744.6,770.8,784.9,720,3750.6
160000962933,17,"M",1,3,52,"GO","G","D","A",1,1,1,1,1,774.2,859.1,770.6,929.9,780,4113.8
160003239689,18,"M",3,1,23,"CE","N","D","A",1,1,1,1,1,798.3,777,770.1,897.4,960,4202.8
160008494329,19,"M",1,1,24,"RN","Q","A","A",1,1,1,1,1,653,728.7,769.7,701.9,920,3773.3
160000964250,19,"F",1,1,42,"SC","D","A","B",1,1,1,1,1,608.6,698.4,769.6,752.9,640,3469.5
160003380287,17,"M",1,3,33,"RJ","O","D","A",1,1,1,1,1,766.3,788.6,769.5,976.6,960,4261
160004517017,24,"M",2,1,31,"MG","E","E","A",1,1,1,1,1,591.1,640.6,769.4,669.1,720,3390.2
160000715471,17,"M",1,3,31,"MG","O","D","A",1,1,1,1,1,721.3,698,769.2,881.1,920,3989.6
160004002358,18,"F",1,1,35,"SP","D","E","A",1,1,1,1,1,774.6,745.2,769.2,861.2,660,3810.2
160002978365,21,"M",1,1,35,"SP","N","D","A",1,1,1,1,1,831.3,754.6,769,929.7,800,4084.6
160004332728,17,"F",1,3,35,"SP","P","D","A",1,1,1,1,1,706.7,739.3,768.9,827.3,880,3922.2
160007359555,32,"F",0,1,26,"PE","F","D","A",1,1,1,1,1,630.5,800.4,768.8,550.6,620,3370.3
160001611457,18,"F",1,3,31,"MG","M","D","A",1,1,1,1,1,723.3,751.7,768.6,815.4,860,3919
160005092433,18,"M",1,1,31,"MG","I","A","A",1,1,1,1,1,629.3,705.5,768.6,728.6,740,3572
160001922753,17,"M",3,3,53,"DF","Q","D","A",1,1,1,1,1,717.9,703.1,768.5,768,780,3737.5
160000296144,18,"M",4,1,35,"SP","O","D","A",1,1,1,1,1,749.5,750.5,768.3,889.7,540,3698
160000393390,25,"M",1,1,43,"RS","K","B","A",1,1,1,1,1,673.1,746.1,768.2,754,540,3481.4
160002326491,19,"F",1,1,35,"SP","N","D","A",1,1,1,1,1,787.7,790.5,767.9,875.9,960,4182
160005450673,18,"F",1,3,33,"RJ","M","D","A",1,1,1,1,1,602.9,697.6,767.8,602.8,800,3471.1
160001661687,46,"M",1,1,35,"SP","K","D","A",1,1,1,1,1,695.7,764.8,767.3,793.8,880,3901.6
160003837594,18,"F",1,3,35,"SP","L","D","A",1,1,1,1,1,692,778.5,767.2,830.3,880,3948
160003328978,18,"F",1,1,35,"SP","Q","D","A",1,1,1,1,1,748.7,753.1,767.1,808.2,780,3857.1
160002049656,19,"F",1,1,53,"DF","Q","D","A",1,1,1,1,1,668.1,699.9,766.6,689.3,880,3703.9
160001264938,26,"F",1,1,52,"GO","E","D","A",1,1,1,1,1,770.7,761.3,766.5,939.8,640,3878.3
160007408280,20,"M",1,1,41,"PR","J","D","A",1,1,1,1,1,691.3,762.5,766.4,695.2,760,3675.4
160002048007,16,"F",1,1,26,"PE","I","E","A",1,1,1,1,1,622.4,665.5,766.3,733,920,3707.2
160003892440,17,"M",3,3,29,"BA","H","D","A",1,1,1,1,1,731.8,702.4,766.3,855.3,800,3855.8
160000158372,17,"F",1,3,24,"RN","P","D","B",1,1,1,1,1,719.3,698.6,765.8,779.9,980,3943.6
160005914372,32,"M",1,1,33,"RJ","K","D","A",1,1,1,1,1,655.6,789.4,765.8,734.6,760,3705.4
