"NU_INSCRICAO","NU_IDADE","TP_SEXO","TP_COR_RACA","TP_ESCOLA","CO_UF_RESIDENCIA","SG_UF_PROVA","Q006","Q047","Q049","TP_PRESENCA_CN","TP_PRESENCA_CH","TP_PRESENCA_LC","TP_PRESENCA_MT","TP_STATUS_REDACAO","NU_NOTA_CN","NU_NOTA_CH","NU_NOTA_LC","NU_NOTA_MT","NU_NOTA_REDACAO","NOTA_FINAL_ENEM"
160000405122,20,"F",3,1,35,"SP","C","A","A",1,1,1,1,1,678.4,748.9,656.1,641.9,1000,3725.3
160000408525,24,"F",3,1,31,"MG","C","A","A",1,1,1,1,1,436.2,565.1,552.6,532.1,1000,3086
160008575653,25,"F",1,1,35,"SP","G","D","A",1,1,1,1,1,607.2,677.7,620.8,662.9,1000,3568.6
160001229097,17,"F",3,2,31,"MG","H","A","A",1,1,1,1,1,629.9,730.7,672.3,577.9,1000,3610.8
160001257672,18,"F",1,1,43,"RS","G","A","A",1,1,1,1,1,622.6,634.1,636.8,557.3,1000,3450.8
160001482881,21,"F",3,1,15,"PA","F","A","A",1,1,1,1,1,466.1,497.4,505.6,487,1000,2956.1
160000073825,18,"F",1,1,23,"CE","G","D","A",1,1,1,1,1,703.5,681.9,593.1,787.5,1000,3766
160000085284,17,"M",1,3,51,"MT","I","D","A",1,1,1,1,1,668.9,706.6,633,826.9,1000,3835.4
160000099731,20,"F",3,1,21,"MA","I","D","A",1,1,1,1,1,623.2,707.2,634.9,654.3,1000,3619.6
160001953172,17,"F",1,1,33,"RJ","C","E","A",1,1,1,1,1,642.8,728.4,548.2,746.7,1000,3666.1
160002047401,19,"M",1,1,15,"PA","J","D","A",1,1,1,1,1,676.8,668.8,622,827.6,1000,3795.2
160000013357,18,"M",3,3,24,"RN","E","D","A",1,1,1,1,1,561.6,650.1,516.9,505.9,1000,3234.5
160000033920,20,"M",1,1,35,"SP","I","D","A",1,1,1,1,1,698.5,633.3,590.5,783.7,1000,3706
160000652447,17,"M",1,3,26,"PE","Q","D","A",1,1,1,1,1,721.7,755.3,702.2,877.3,1000,4056.5
160002361635,23,"F",1,1,25,"PB","C","B","A",1,1,1,1,1,629.6,653.5,587.5,512.8,1000,3383.4
160001925888,18,"F",1,3,31,"MG","Q","D","A",1,1,1,1,1,732.5,767.2,651.9,784.6,1000,3936.2
160002165051,20,"F",3,1,35,"SP","D","D","A",1,1,1,1,1,597.7,678.8,631.3,649.1,1000,3556.9
160002169455,18,"M",1,1,41,"PR","B","A","A",1,1,1,1,1,665.7,724.6,647.7,773.6,1000,3811.6
160000645463,17,"M",1,3,23,"CE","Q","D","A",1,1,1,1,1,737.4,705.6,633.6,904.9,1000,3981.5
160000164282,17,"F",3,3,23,"CE","N","D","A",1,1,1,1,1,617.1,677.6,646.2,700.5,1000,3641.4
160002187986,17,"F",1,3,35,"SP","N","D","A",1,1,1,1,1,690.5,660.2,696.7,736.5,1000,3783.9
160002409311,17,"M",3,3,22,"PI","P","D","A",1,1,1,1,1,787.3,752,715.9,983.1,1000,4238.3
