"CO_MUNICIPIO_RESIDENCIA","MUNICIPIO","MEDIA_FINAL","MEDIA_CN","MEDIA_CH","MEDIA_LC","MEDIA_MT","MEDIA_REDACAO"
1100015,"ALTA FLORESTA DOESTE",2420.36993103448,458.96924137931,510.675724137931,501.452689655172,466.127448275862,483.144827586207
1100023,"ARIQUEMES",2472.43229850746,465.770537313433,521.280865671642,509.657701492537,474.30528358209,501.417910447761
1100031,"CABIXI",2465.30215053763,476.594623655914,508.731182795699,507.935483870968,469.890322580645,502.150537634409
1100049,"CACOAL",2491.66113926617,468.677903912427,524.443117778228,512.980883843503,480.685323332658,504.873910399351
1100056,"CEREJEIRAS",2490.48388746803,471.621227621483,523.856010230179,506.916112531969,472.949872122762,515.140664961637
1100064,"COLORADO DO OESTE",2480.33311111111,470.110888888889,518.321555555556,509.268444444444,481.832222222222,500.8
1100072,"CORUMBIARA",2382.9384180791,459.744632768362,496.049717514124,486.114689265537,461.368361581921,479.661016949153
1100080,"COSTA MARQUES",2375.17427385892,450.102074688797,499.65601659751,491.386307053942,458.594190871369,475.435684647303
1100098,"ESPIGÃO DOESTE",2458.19152542373,460.35852442672,516.09850448654,503.830707876371,480.330508474576,497.573280159521
1100106,"GUAJARÁ-MIRIM",2355.77512282269,446.641268423403,499.752300133988,491.646672621706,447.060473425637,470.674408217954
1100114,"JARU",2435.76691542289,456.96368159204,512.627176616915,503.812437810945,470.037748756219,492.325870646766
1100122,"JI-PARANÁ",2471.51478146996,461.724832214765,520.887248322148,507.790964151252,478.624586675397,502.4871501064
1100130,"MACHADINHO DOESTE",2401.72101910828,457.223248407643,512.510031847134,496.746337579618,462.757324840764,472.484076433121
1100148,"NOVA BRASILÂNDIA DOESTE",2435.0415860735,461.825725338491,513.642359767892,499.920502901354,479.730367504836,479.922630560928
1100155,"OURO PRETO DO OESTE",2462.45747599451,463.724417009602,518.592729766804,505.729903978052,474.881618655693,499.528806584362
1100189,"PIMENTA BUENO",2450.55880330124,459.439889958734,514.616231086658,503.937345254471,474.330123796424,498.235213204952
1100205,"PORTO VELHO",2502.59411504958,468.059110433142,525.784155593914,511.956545301273,474.319934968488,522.47436875276
1100254,"PRESIDENTE MÉDICI",2432.92204806688,459.654858934169,513.174817136886,499.109822361547,472.497701149425,488.484848484848
1100262,"RIO CRESPO",2418.81408450704,456.604225352113,511.139436619718,500.398591549296,465.038028169014,485.633802816901
1100288,"ROLIM DE MOURA",2445.6843953186,462.112028608583,517.029421326398,505.256339401821,474.856176853056,486.430429128739
1100296,"SANTA LUZIA DOESTE",2421.31428571429,457.188492063492,517.645634920635,501.927380952381,462.013095238095,482.539682539683
1100304,"VILHENA",2492.43953885568,467.726074580131,525.758582408198,512.527497865073,481.726273840023,504.701110162255
1100320,"SÃO MIGUEL DO GUAPORÉ",2400.46805111821,453.848083067093,506.561980830671,494.938817891374,463.425878594249,481.693290734824
1100338,"NOVA MAMORÉ",2369.9815,449.95175,497.9995,490.4785,455.50175,476.05
1100346,"ALVORADA DOESTE",2415.02532188841,459.2669527897,512.041845493562,495.855150214592,462.361373390558,485.5
1100379,"ALTO ALEGRE DOS PARECIS",2457.49935691318,464.986173633441,514.614469453376,501.277491961415,470.511897106109,506.109324758842
1100403,"ALTO PARAÍSO",2417.72408759124,458.217153284672,509.66094890511,500.773357664234,462.503284671533,486.569343065693
