"NU_INSCRICAO","NU_IDADE","TP_SEXO","TP_COR_RACA","TP_ESCOLA","CO_UF_RESIDENCIA","SG_UF_PROVA","Q006","Q047","Q049","TP_PRESENCA_CN","TP_PRESENCA_CH","TP_PRESENCA_LC","TP_PRESENCA_MT","TP_STATUS_REDACAO","NU_NOTA_CN","NU_NOTA_CH","NU_NOTA_LC","NU_NOTA_MT","NU_NOTA_REDACAO","NOTA_FINAL_ENEM"
160005863005,17,"F",3,2,13,"AM","B","A","C",1,1,1,1,1,366.4,404.5,376.3,438.9,120,1706.1
160004080974,20,"M",2,2,24,"RN","C","A","B",1,1,1,1,1,376.1,331,377.9,401,220,1706
160006101188,37,"F",3,1,13,"AM","D","A","C",1,1,1,1,1,367.4,344.6,342.7,331.3,320,1706
160007144995,34,"F",1,1,35,"SP","B","A","A",1,1,1,1,1,369.2,399.8,383.1,393.9,160,1706
160002426542,18,"M",3,2,23,"CE","B","A","A",1,1,1,1,1,444.7,343.8,409.9,347.5,160,1705.9
160000731237,24,"M",5,1,13,"AM","A","A","C",1,1,1,1,1,375.3,371.3,399.5,419.8,140,1705.9
160007362973,23,"M",1,1,13,"AM","B","A","A",1,1,1,1,1,373.9,394.4,418.9,338.7,180,1705.9
160007768872,18,"F",3,1,21,"MA","A","A","A",1,1,1,1,1,369.9,367.8,442.4,345.8,180,1705.9
160007435551,40,"M",3,1,33,"RJ","C","A","C",1,1,1,1,1,402.1,440,410.8,332.9,120,1705.8
160008037617,20,"F",2,2,15,"PA","C","A","C",1,1,1,1,1,427.6,355.9,409.9,372.3,140,1705.7
160006356869,17,"F",2,2,31,"MG","A","A","A",1,1,1,1,1,410.2,352.6,456.3,366.6,120,1705.7
160008572328,24,"F",2,1,29,"BA","B","A","C",1,1,1,1,1,358.7,405.8,309.8,351.4,280,1705.7
160000299466,17,"F",1,1,21,"MA","B","A","A",1,1,1,1,1,384.2,404.7,426,370.7,120,1705.6
160006610874,19,"F",3,1,15,"PA","A","A","C",1,1,1,1,1,388.5,366.1,371.8,379.2,200,1705.6
160000155094,20,"F",3,1,33,"RJ","C","A","A",1,1,1,1,1,395.3,383.5,479.6,367.1,80,1705.5
160001131355,26,"M",1,1,35,"SP","D","B","C",1,1,1,1,1,455.1,494.7,366,349.5,40,1705.3
160003580901,41,"M",3,1,27,"AL","B","A","C",1,1,1,1,1,418.8,409.2,417.8,379.5,80,1705.3
160003515946,40,"F",1,1,43,"RS","C","A","C",1,1,1,1,1,426.1,334.2,373.7,371.3,200,1705.3
160006011065,25,"F",1,1,51,"MT","C","A","A",1,1,1,1,1,383.3,430.4,415.3,356.3,120,1705.3
160006474238,21,"F",3,1,31,"MG","B","A","A",1,1,1,1,1,392.9,423.9,371.9,356.6,160,1705.3
160006411064,31,"M",2,1,31,"MG","C","A","A",1,1,1,1,1,395.7,383.4,385.7,340.3,200,1705.1
160002114674,19,"F",2,1,26,"PE","A","A","B",1,1,1,1,1,449.2,408.6,366,361.2,120,1705
160003170122,38,"M",2,1,21,"MA","C","A","A",1,1,1,1,1,419.3,383.3,450.5,351.9,100,1705
160004000365,61,"M",3,1,29,"BA","B","A","A",1,1,1,1,1,455.8,411.5,454.7,343,40,1705
160006281599,23,"F",4,1,12,"AC","B","A","C",1,1,1,1,1,407.2,414.9,390.3,452.6,40,1705
160005443977,22,"F",1,1,15,"PA","E","A","A",1,1,1,1,1,428.2,409.1,422.4,385.3,60,1705
160004239536,23,"M",1,1,31,"MG","F","A","B",1,1,1,1,1,405.8,376.8,391.1,411.2,120,1704.9
160000894116,19,"M",3,1,23,"CE","B","A","C",1,1,1,1,1,439.4,455.2,384.8,385.5,40,1704.9
160000733254,54,"M",3,1,23,"CE","C","A","A",1,1,1,1,1,367.6,424.7,428,344.4,140,1704.7
160002606308,16,"F",1,1,21,"MA","B","A","A",1,1,1,1,1,400.8,348.5,454.4,361,140,1704.7
160001840670,47,"F",3,2,23,"CE","B","A","B",1,1,1,1,1,361.2,456.4,433.2,413.9,40,1704.7
160004025301,27,"M",2,1,50,"MS","G","A","A",1,1,1,1,1,377.9,387.7,429.5,349.4,160,1704.5
160008158227,67,"F",3,1,26,"PE","C","A","C",1,1,1,1,1,361.2,319.9,347.5,335.8,340,1704.4
160002705916,19,"M",3,2,23,"CE","C","A","A",1,1,1,1,1,400.6,426.5,376.8,360.4,140,1704.3
160006060620,19,"F",3,2,24,"RN","B","A","A",1,1,1,1,1,416,348.6,414.3,365.4,160,1704.3
160006191736,23,"F",2,1,22,"PI","B","A","A",1,1,1,1,1,363.7,422.6,456.5,341.5,120,1704.3
160004419238,20,"F",2,2,29,"BA","B","A","C",1,1,1,1,1,367.9,380.7,421.9,373.7,160,1704.2
160003434225,16,"F",3,1,32,"ES","C","A","A",1,1,1,1,1,401.6,324.8,415.8,361.9,200,1704.1
160006911930,23,"F",3,1,22,"PI","C","A","A",1,1,1,1,1,389.6,470.1,398.8,365.5,80,1704
160007266153,39,"F",3,1,29,"BA","B","A","C",1,1,1,1,1,362.1,321.6,356.6,363.6,300,1703.9
160008513228,32,"M",3,1,22,"PI","B","A","B",1,1,1,1,1,427.3,371.7,410.7,354.2,140,1703.9
160003355015,17,"F",3,2,52,"GO","E","A","A",1,1,1,1,1,418.6,407.8,366.1,352.2,159,1703.7
160006290098,19,"F",2,1,29,"BA","B","A","A",1,1,1,1,1,408.8,401.3,373.3,340.2,180,1703.6
160003581039,22,"F",3,1,21,"MA","C","A","C",1,1,1,1,1,361.4,319.9,464.9,357.4,200,1703.6
160003729188,32,"M",3,1,22,"PI","C","A","C",1,1,1,1,1,389.5,469.5,412.8,351.8,80,1703.6
160004355556,16,"F",3,1,15,"PA","C","A","A",1,1,1,1,1,395.7,359.7,409.4,378.7,160,1703.5
160005566942,43,"F",3,1,35,"SP","B","A","C",1,1,1,1,1,415,350.5,421.5,356.5,160,1703.5
160005419429,23,"F",3,1,28,"SE","B","A","C",1,1,1,1,1,410.7,400.9,436.1,375.8,80,1703.5
160004536284,19,"M",3,1,27,"AL","B","A","C",1,1,1,1,1,448.9,364.8,457.8,351.9,80,1703.4
160006646304,46,"M",2,1,32,"ES","C","A","A",1,1,1,1,1,395.7,412.3,378.7,436.7,80,1703.4
160006642747,23,"F",3,1,26,"PE","B","A","C",1,1,1,1,1,379.4,382.8,406.9,374.3,160,1703.4
160003769911,50,"F",3,1,27,"AL","E","A","C",1,1,1,1,1,361.2,355,453.5,333.6,200,1703.3
160003612740,23,"F",2,1,29,"BA","C","A","A",1,1,1,1,1,379.4,344.4,355.7,383.7,240,1703.2
160002228921,22,"F",3,2,23,"CE","C","A","B",1,1,1,1,1,390.6,440.9,354.6,397.1,120,1703.2
160006871327,41,"F",5,1,29,"BA","B","A","A",1,1,1,1,1,405.9,328,414.4,374.9,180,1703.2
160000727829,17,"F",1,1,42,"SC","C","A","B",1,1,1,1,1,381.4,342.8,372.8,426.1,180,1703.1
160000787846,31,"F",1,1,11,"RO","B","A","C",1,1,1,1,1,393.5,319.9,384.4,425.3,180,1703.1
160007178657,41,"F",3,1,15,"PA","B","A","C",1,1,1,1,1,381.1,438.7,371.4,351.9,160,1703.1
160001390700,19,"F",3,2,26,"PE","B","A","A",1,1,1,1,1,426.8,389.8,397.6,408.8,80,1703
160004670351,22,"M",3,1,21,"MA","C","A","B",1,1,1,1,1,431.1,417.5,406.5,347.9,100,1703
160007243170,33,"M",3,2,22,"PI","B","A","C",1,1,1,1,1,429.9,357.2,382,373.9,160,1703
160004317283,28,"F",3,1,15,"PA","A","A","A",1,1,1,1,1,408.5,326.6,363.2,364.6,240,1702.9
160005368393,44,"F",4,1,51,"MT","D","A","A",1,1,1,1,1,406.5,412.6,356.4,407.4,120,1702.9
160008068478,28,"F",1,1,15,"PA","C","A","A",1,1,1,1,1,421.3,334,400.7,506.9,40,1702.9
160005033653,45,"F",3,1,21,"MA","B","A","A",1,1,1,1,1,424.8,347.3,396.6,374.1,160,1702.8
160007840740,17,"F",3,1,27,"AL","G","A","A",1,1,1,1,1,407.1,386.6,394.3,374.8,140,1702.8
160001500740,26,"M",3,1,21,"MA","B","A","C",1,1,1,1,1,442,332.2,362.1,406.4,160,1702.7
160000220479,35,"F",1,1,41,"PR","C","A","C",1,1,1,1,1,367.8,357.2,451.2,346.5,180,1702.7
160007918135,34,"F",3,1,22,"PI","B","A","C",1,1,1,1,1,407.3,439,367.6,348.7,140,1702.6
160002873071,19,"M",3,2,26,"PE","B","A","B",1,1,1,1,1,403.3,410.5,366.7,362.1,160,1702.6
160006069873,23,"F",3,1,26,"PE","C","A","C",1,1,1,1,1,393.5,370.3,416.8,401.9,120,1702.5
160007046888,27,"M",3,1,28,"SE","B","A","A",1,1,1,1,1,400.4,426.6,368,367.5,140,1702.5
160007449640,49,"M",0,1,25,"PB","C","A","B",1,1,1,1,1,362.2,395.9,421.2,363.2,160,1702.5
160002939567,21,"M",3,1,23,"CE","B","A","A",1,1,1,1,1,415.3,373.1,382,432,100,1702.4
160002582235,42,"M",3,1,52,"GO","D","A","C",1,1,1,1,1,374.2,389.5,440.6,358,140,1702.3
160004147003,34,"F",3,1,31,"MG","C","A","C",1,1,1,1,1,361.7,434.7,304.9,381,220,1702.3
160006677097,17,"M",3,1,21,"MA","B","A","C",1,1,1,1,1,377.1,356.3,438.4,430.4,100,1702.2
160002859609,24,"F",1,1,50,"MS","B","A","C",1,1,1,1,1,418.7,375.7,424.4,363.4,120,1702.2
160004886215,18,"F",2,1,23,"CE","B","A","A",1,1,1,1,1,366.8,451.5,369.1,394.7,120,1702.1
160007026098,20,"F",3,1,29,"BA","A","A","A",1,1,1,1,1,410.2,358.6,413.6,439.7,80,1702.1
160004598992,21,"M",0,1,23,"CE","B","A","A",1,1,1,1,1,408.3,341.5,411.7,400.6,140,1702.1
160000659892,43,"F",3,1,22,"PI","C","A","C",1,1,1,1,1,437.2,472,361.1,351.7,80,1702
160005580879,23,"M",1,1,15,"PA","B","A","B",1,1,1,1,1,390.5,408.2,381.7,341.6,180,1702
160000656221,23,"M",3,1,23,"CE","B","A","B",1,1,1,1,1,443,399.9,350.1,428.9,80,1701.9
160000500460,18,"F",3,1,23,"CE","B","A","A",1,1,1,1,1,450,416.9,429.9,345.1,60,1701.9
160003206452,16,"F",2,1,35,"SP","C","A","A",1,1,1,1,1,382,427.7,386.3,405.9,100,1701.9
160002926175,20,"M",1,1,23,"CE","A","A","A",1,1,1,1,1,414.6,400.6,395.1,351.5,140,1701.8
160004025078,49,"M",3,1,29,"BA","A","A","C",1,1,1,1,1,410.4,355.5,469,346.9,120,1701.8
160006652792,21,"F",4,1,23,"CE","B","A","B",1,1,1,1,1,362.3,391.7,411.8,376,160,1701.8
160008412274,19,"M",3,1,15,"PA","B","A","A",1,1,1,1,1,428.3,382.2,388.5,382.8,120,1701.8
160004922288,27,"M",1,1,35,"SP","F","A","A",1,1,1,1,1,408.3,423.5,451.6,338.3,80,1701.7
160007107448,22,"F",1,1,14,"RR","C","A","A",1,1,1,1,1,404.7,416,449.8,351.2,80,1701.7
160007892302,22,"F",3,1,35,"SP","C","A","B",1,1,1,1,1,367.2,388.1,420.8,365.6,160,1701.7
160001264659,27,"F",0,2,41,"PR","B","A","C",1,1,1,1,1,395,445.2,364.2,377.2,120,1701.6
160000108468,19,"M",1,1,23,"CE","B","A","A",1,1,1,1,1,384.5,337.8,381.9,397.4,200,1701.6
160005189082,19,"F",5,1,50,"MS","B","A","A",1,1,1,1,1,434.6,375.8,359.6,391.6,140,1701.6
160003404975,18,"M",3,2,26,"PE","D","A","A",1,1,1,1,1,367.8,385.9,413.3,434.4,100,1701.4
160007790029,23,"F",3,2,15,"PA","B","A","A",1,1,1,1,1,388.5,366.5,365.4,381,200,1701.4
160004448181,20,"M",2,1,52,"GO","C","A","C",1,1,1,1,1,377.8,414.3,392.5,376.8,140,1701.4
160008580612,17,"M",3,2,15,"PA","F","A","A",1,1,1,1,1,365.9,344.3,386.2,384.9,220,1701.3
160007368570,59,"F",3,1,21,"MA","E","A","A",1,1,1,1,1,393.4,393.3,382.9,411.7,120,1701.3
160002808099,29,"M",2,1,33,"RJ","I","A","C",1,1,1,1,1,372.2,413.4,401.3,374.3,140,1701.2
160007180103,19,"M",1,1,50,"MS","E","A","C",1,1,1,1,1,443.9,429.9,391.5,395.7,40,1701
160007544779,27,"M",3,1,24,"RN","D","A","A",1,1,1,1,1,392.3,352.7,482.9,353.1,120,1701
160002748940,22,"M",0,2,23,"CE","B","A","C",1,1,1,1,1,381,400.1,409.6,390.2,120,1700.9
160005373396,25,"M",3,1,31,"MG","B","A","B",1,1,1,1,1,376.8,334.5,411.5,378.1,200,1700.9
160007484218,17,"F",3,2,52,"GO","C","A","A",1,1,1,1,1,415,439.5,403.9,362.4,80,1700.8
160005422201,18,"M",1,1,15,"PA","C","A","C",1,1,1,1,1,412.6,356.7,396.4,355,180,1700.7
160005547764,20,"F",2,1,26,"PE","B","A","C",1,1,1,1,1,408.9,379.7,412.2,379.9,120,1700.7
160008208739,21,"F",1,2,31,"MG","B","A","A",1,1,1,1,1,398.8,449.2,375.6,343.1,134,1700.7
160001690901,17,"M",3,1,23,"CE","B","A","A",1,1,1,1,1,395.6,359,377.3,428.7,140,1700.6
160002147283,38,"M",1,1,35,"SP","E","A","B",1,1,1,1,1,369.3,344.8,409.5,377,200,1700.6
160007109451,36,"M",4,1,17,"TO","B","A","C",1,1,1,1,1,400.7,374.9,435.4,389.6,100,1700.6
160002626399,18,"M",3,1,23,"CE","A","A","A",1,1,1,1,1,459.7,340.5,419.2,361.1,120,1700.5
160003524257,31,"F",3,1,21,"MA","B","A","C",1,1,1,1,1,375.9,359.7,346.2,338.7,280,1700.5
160004004366,17,"F",3,1,23,"CE","B","A","A",1,1,1,1,1,449.6,424.6,363.8,342.5,120,1700.5
160005250322,21,"M",1,1,23,"CE","C","A","A",1,1,1,1,1,377.7,406,427.7,429.1,60,1700.5
160007511691,21,"F",3,1,32,"ES","B","A","B",1,1,1,1,1,392.3,375,358.9,374.3,200,1700.5
160005283946,19,"F",3,2,15,"PA","B","A","A",1,1,1,1,1,423.8,379.2,344.9,412.5,140,1700.4
160002215766,18,"M",3,1,23,"CE","B","A","A",1,1,1,1,1,415.9,349.7,398.1,416.7,120,1700.4
160004779785,21,"M",2,2,42,"SC","D","A","C",1,1,1,1,1,423.6,399.2,434.6,402.9,40,1700.3
160003271321,27,"M",3,2,11,"RO","C","A","C",1,1,1,1,1,361.2,319.9,385.9,393.3,240,1700.3
160003579089,18,"F",3,1,26,"PE","B","A","B",1,1,1,1,1,393.9,367.9,400.5,378,160,1700.3
160005215965,30,"F",1,2,22,"PI","C","A","A",1,1,1,1,1,376,330.4,393.1,360.7,240,1700.2
160004669315,21,"M",2,1,28,"SE","F","B","B",1,1,1,1,1,379.2,336.4,398.1,406.5,180,1700.2
160008309337,17,"F",1,1,29,"BA","C","A","A",1,1,1,1,1,378.6,439.5,368,354.1,160,1700.2
160008123504,54,"M",3,2,15,"PA","B","A","C",1,1,1,1,1,415.8,478.5,403.5,342.4,60,1700.2
160006429581,19,"M",3,2,15,"PA","B","A","B",1,1,1,1,1,394.5,408.9,370.7,346,180,1700.1
160006501209,54,"F",3,1,33,"RJ","C","A","C",1,1,1,1,1,415.2,362.6,421,421.3,80,1700.1
160005760370,18,"M",2,1,21,"MA","B","A","A",1,1,1,1,1,415.3,384.5,350.8,389.4,160,1700
160005621327,28,"M",1,2,26,"PE","B","A","C",1,1,1,1,1,395.7,387.5,422.3,394.4,100,1699.9
160004982331,36,"F",1,1,13,"AM","F","A","B",1,1,1,1,1,397.7,360.6,388.3,393.3,160,1699.9
160005471731,30,"M",3,1,42,"SC","C","A","C",1,1,1,1,1,406.4,370.8,403.9,358.8,160,1699.9
160005866707,19,"F",3,2,31,"MG","C","A","B",1,1,1,1,1,447.7,361,463.9,347.3,80,1699.9
160002861483,23,"F",1,1,21,"MA","A","A","B",1,1,1,1,1,407.8,475,414.5,362.5,40,1699.8
160005031040,20,"F",2,1,29,"BA","B","A","A",1,1,1,1,1,386.3,337.7,357.5,358.3,260,1699.8
160000355964,39,"M",3,1,23,"CE","D","A","C",1,1,1,1,1,365.7,385.8,351.5,356.7,240,1699.7
160000822475,23,"M",1,1,33,"RJ","C","A","A",1,1,1,1,1,399.6,357.2,379.1,423.8,140,1699.7
160001871840,23,"M",1,1,21,"AP","B","A","C",1,1,1,1,1,375.5,387,453.3,363.9,120,1699.7
160005691969,40,"F",5,1,13,"AM","A","A","C",1,1,1,1,1,373.4,383.6,451.3,351.4,140,1699.7
160003843733,53,"F",3,2,27,"AL","B","A","C",1,1,1,1,1,361.2,343.8,373.8,340.8,280,1699.6
160007063060,25,"F",1,2,15,"PA","B","A","A",1,1,1,1,1,395.5,374.3,375.4,394.4,160,1699.6
160005358881,17,"M",3,1,15,"PA","C","A","A",1,1,1,1,1,393.8,428.3,354.4,343,180,1699.5
160002697367,17,"M",2,2,51,"MT","H","A","B",1,1,1,1,1,382.3,332.4,346.2,338.5,300,1699.4
160001339032,42,"F",3,1,28,"SE","D","A","C",1,1,1,1,1,407.8,357,423.6,390.9,120,1699.3
160004234357,19,"F",1,2,31,"MG","B","A","A",1,1,1,1,1,383.5,377.8,456.2,401.8,80,1699.3
160005724901,18,"F",3,1,15,"PA","B","A","A",1,1,1,1,1,384.1,389.6,422.1,343.4,160,1699.2
160002658940,19,"F",3,2,13,"AM","B","A","A",1,1,1,1,1,431.5,356.8,403.3,347.6,160,1699.2
160002038071,17,"F",3,2,23,"CE","A","A","A",1,1,1,1,1,397.8,355.6,357.7,388,200,1699.1
