"NU_INSCRICAO","NU_IDADE","TP_SEXO","TP_COR_RACA","TP_ESCOLA","CO_UF_RESIDENCIA","SG_UF_PROVA","Q006","Q047","Q049","TP_PRESENCA_CN","TP_PRESENCA_CH","TP_PRESENCA_LC","TP_PRESENCA_MT","TP_STATUS_REDACAO","NU_NOTA_CN","NU_NOTA_CH","NU_NOTA_LC","NU_NOTA_MT","NU_NOTA_REDACAO","NOTA_FINAL_ENEM"
160001902554,23,"F",3,1,50,"MS","D","A","B",1,1,1,1,1,438.6,326.1,454.1,540.5,340,2099.3
160000051208,20,"M",3,1,13,"AM","B","A","C",1,1,1,1,1,379.5,326.1,490.6,398.7,420,2014.9
160000320815,20,"F",4,1,25,"PB","D","A","C",1,1,1,1,1,478.9,326.1,542.5,437.9,300,2085.4
160001030129,18,"F",3,2,26,"PE","C","A","B",1,1,1,1,1,469.7,326.1,522,423,520,2260.8
160000966197,17,"F",3,2,29,"BA","H","A","A",1,1,1,1,1,446.8,326.1,446.8,417.2,440,2076.9
160000697549,22,"F",3,1,21,"MA","C","B","B",1,1,1,1,1,412.9,326.1,410.7,406.3,320,1876
160001626126,23,"M",3,1,15,"PA","B","A","C",1,1,1,1,1,388,326.1,468.3,427.5,580,2189.9
160001958597,15,"F",3,1,21,"MA","B","A","A",1,1,1,1,1,438.5,326.1,416.5,401.1,440,2022.2
160003008292,17,"M",1,2,42,"SC","B","A","A",1,1,1,1,1,426.1,326.1,470.3,374.7,400,1997.2
160003023797,47,"M",3,1,13,"AM","C","A","C",1,1,1,1,1,409.4,326.1,460.6,389.2,560,2145.3
160003062770,51,"F",2,1,51,"MT","D","A","B",1,1,1,1,1,388.2,326.1,413.2,514.7,360,2002.2
160003777666,36,"F",3,1,27,"AL","B","A","A",1,1,1,1,1,424.3,326.1,349.9,414.8,220,1735.1
160003977544,18,"F",2,1,43,"RS","B","A","A",1,1,1,1,1,427.4,326.1,470.8,414.8,360,1999.1
160004009384,17,"F",3,1,31,"MG","C","A","A",1,1,1,1,1,473.6,326.1,471.1,383.2,340,1994
160004849478,17,"F",3,2,24,"RN","B","A","A",1,1,1,1,1,409.8,326.1,491.4,446.7,360,2034
160005021203,21,"M",3,2,23,"CE","C","A","B",1,1,1,1,1,501.6,326.1,471.4,395.4,460,2154.5
160005177549,22,"M",1,1,35,"SP","C","A","B",1,1,1,1,1,447.4,326.1,553.9,450.1,400,2177.5
160005383347,19,"M",3,2,53,"DF","B","A","C",1,1,1,1,1,396,326.1,455.5,355.1,300,1832.7
160004963401,18,"F",1,3,35,"SP","G","B","A",1,1,1,1,1,422.8,326.1,448.8,362.6,440,2000.3
160005324605,52,"F",3,1,26,"PE","B","A","C",1,1,1,1,1,397.4,326.1,478.4,388.2,200,1790.1
160005447945,21,"F",2,2,21,"MA","B","A","A",1,1,1,1,1,398.9,326.1,493.6,416.4,520,2155
160005854654,18,"F",3,2,31,"ES","B","A","A",1,1,1,1,1,446.9,326.1,403.6,484.1,340,2000.7
160006288083,48,"F",3,1,32,"RJ","C","A","C",1,1,1,1,1,364.2,326.1,346.6,331.3,260,1628.2
160006477518,18,"F",2,1,15,"PA","B","A","A",1,1,1,1,1,431.9,326.1,402.6,378.8,500,2039.4
160006310383,27,"F",3,1,15,"PA","B","A","B",1,1,1,1,1,423.4,326.1,399.9,403.6,500,2053
160007438727,22,"F",1,1,35,"SP","C","A","A",1,1,1,1,1,427.1,326.1,483.1,406,480,2122.3
160000526332,21,"M",3,1,28,"SE","B","A","C",1,1,1,1,1,419.5,326,423,473.4,500,2141.9
160002063819,20,"F",3,1,53,"DF","B","A","B",1,1,1,1,1,535.3,326,450,372.3,480,2163.6
160000029700,16,"M",3,1,23,"CE","C","A","A",1,1,1,1,1,383.6,326,423,520.8,320,1973.4
160002596500,17,"F",2,2,35,"SP","A","A","B",1,1,1,1,1,481.3,326,588.1,485.2,560,2440.6
160000969940,19,"M",3,1,52,"GO","B","A","A",1,1,1,1,1,472.5,326,415.3,412.9,140,1766.7
160001843825,18,"F",3,2,21,"MA","B","A","A",1,1,1,1,1,465.6,326,479.2,644.5,400,2315.3
160001988053,16,"M",3,1,29,"BA","B","A","A",1,1,1,1,1,471.9,326,575.5,662.8,700,2736.2
160003490726,24,"F",2,1,27,"AL","B","A","C",1,1,1,1,1,467.7,326,455.2,428.8,320,1997.7
160003774117,36,"F",2,1,29,"BA","B","A","C",1,1,1,1,1,367.5,326,385.5,365.5,160,1604.5
160004042900,19,"F",5,2,12,"AC","A","A","B",1,1,1,1,1,404.4,326,392.6,351.7,300,1774.7
160003934502,19,"M",3,2,32,"ES","C","A","A",1,1,1,1,1,373.1,326,462.3,430.4,280,1871.8
160004276028,43,"F",1,1,31,"MG","B","A","C",1,1,1,1,1,414.3,326,503.2,435.3,240,1918.8
160004165895,18,"F",3,2,23,"CE","B","A","A",1,1,1,1,1,372.6,326,395.9,379.5,540,2014
160004729845,32,"F",3,1,29,"BA","C","A","B",1,1,1,1,1,395,326,480.1,529.2,480,2210.3
160004983668,19,"M",3,2,22,"PI","J","A","A",1,1,1,1,1,410.3,326,366.6,532.4,340,1975.3
160006084602,30,"F",3,1,23,"CE","B","A","A",1,1,1,1,1,440,326,470.5,483.5,580,2300
160006285607,18,"F",3,2,15,"PA","B","A","A",1,1,1,1,1,378.2,326,492.5,382.7,480,2059.4
160005989085,36,"M",2,1,43,"RS","D","E","C",1,1,1,1,1,440.2,326,448.7,434.1,220,1869
160007320023,16,"F",2,1,23,"CE","B","A","A",1,1,1,1,1,519.9,326,439.7,366,340,1991.6
160008004583,22,"F",3,1,13,"AM","B","A","A",1,1,1,1,1,422.9,326,395.1,456.5,380,1980.5
160007612456,21,"F",2,1,29,"BA","C","A","C",1,1,1,1,1,442.5,326,424.1,505.8,440,2138.4
160008449119,47,"M",2,1,27,"AL","B","A","C",1,1,1,1,1,413.7,326,433.2,424.7,320,1917.6
160001627009,21,"F",3,1,28,"SE","B","A","B",1,1,1,1,1,418.7,325.9,441.5,447.3,520,2153.4
160000058885,18,"M",3,1,21,"MA","C","A","A",1,1,1,1,1,390.5,325.9,393.4,442.3,260,1812.1
160001096518,17,"M",3,1,52,"GO","B","A","A",1,1,1,1,1,430.2,325.9,403.4,418.8,220,1798.3
160001575059,18,"F",2,2,51,"MT","D","A","A",1,1,1,1,1,371.9,325.9,430.9,369.9,380,1878.6
160002655553,18,"F",3,2,26,"PE","C","A","A",1,1,1,1,1,405.4,325.9,410.8,572.4,340,2054.5
160003011648,17,"F",3,2,23,"CE","B","A","A",1,1,1,1,1,394.1,325.9,387.7,382.1,380,1869.8
160004397033,21,"F",5,1,26,"PE","C","A","A",1,1,1,1,1,381.8,325.9,506.7,351.6,360,1926
160005238526,20,"M",3,1,22,"PI","B","A","C",1,1,1,1,1,509.2,325.9,432.2,424.1,200,1891.4
160005614262,30,"F",3,1,15,"PA","A","A","A",1,1,1,1,1,388.3,325.9,376.8,437.1,280,1808.1
160005736413,34,"F",3,2,26,"PE","B","A","C",1,1,1,1,1,372.6,325.9,421.8,394.4,220,1734.7
160006235799,17,"F",3,2,31,"MG","E","A","A",1,1,1,1,1,379.1,325.9,393,399,380,1877
160006947161,19,"M",0,1,50,"MS","G","A","A",1,1,1,1,1,418.3,325.9,444.9,594,540,2323.1
