"NU_INSCRICAO","NU_IDADE","TP_SEXO","TP_COR_RACA","TP_ESCOLA","CO_UF_RESIDENCIA","SG_UF_PROVA","Q006","Q047","Q049","TP_PRESENCA_CN","TP_PRESENCA_CH","TP_PRESENCA_LC","TP_PRESENCA_MT","TP_STATUS_REDACAO","NU_NOTA_CN","NU_NOTA_CH","NU_NOTA_LC","NU_NOTA_MT","NU_NOTA_REDACAO","NOTA_FINAL_ENEM"
160008538057,27,"M",3,1,53,"DF","F","A","B",1,1,1,1,1,353.3,447.2,405.8,396.7,580,2183
160000073989,19,"F",1,1,29,"BA","B","A","A",1,1,1,1,1,353.2,468.9,523,369.2,480,2194.3
160002706105,17,"F",3,2,26,"PE","B","A","A",1,1,1,1,1,353.2,465.8,412.7,346.7,440,2018.4
160003781072,19,"M",1,1,29,"BA","C","A","A",1,1,1,1,1,353.2,567.4,523.4,443.9,660,2547.9
160003928829,23,"F",3,1,31,"MG","C","A","B",1,1,1,1,1,353.2,526.1,513.6,420.3,520,2333.2
160004647791,17,"F",3,1,29,"BA","B","A","A",1,1,1,1,1,353.2,395.7,433.9,328.2,540,2051
160005515754,34,"F",2,1,24,"RN","A","A","C",1,1,1,1,1,353.2,446,375,386.1,440,2000.3
160005706868,18,"F",3,1,29,"BA","C","A","A",1,1,1,1,1,353.2,485.9,521.6,336,480,2176.7
160006051493,17,"F",3,1,31,"MG","D","A","A",1,1,1,1,1,353.2,491.3,452.8,325.2,320,1942.5
160007034991,18,"F",1,1,31,"MG","H","A","B",1,1,1,1,1,353.2,527.5,490.6,431.5,620,2422.8
160007062149,22,"F",3,1,29,"BA","B","A","A",1,1,1,1,1,353.2,432,461.9,366.2,320,1933.3
160007604424,17,"M",3,2,32,"ES","F","A","B",1,1,1,1,1,353.2,410.6,392.8,387.5,360,1904.1
160002333432,16,"F",3,1,33,"RJ","G","A","A",1,1,1,1,1,353.1,534.1,512.1,486.8,600,2486.1
160002381033,21,"F",3,1,31,"MG","B","A","A",1,1,1,1,1,353.1,478,463.5,386.9,340,2021.5
160002257790,17,"F",1,1,23,"CE","C","A","A",1,1,1,1,1,353.1,486.9,456.8,413.2,400,2110
160002010668,17,"M",3,1,27,"AL","A","A","C",1,1,1,1,1,353.1,502.3,334.2,393.7,320,1903.3
160000267664,22,"F",3,1,26,"PE","C","A","B",1,1,1,1,1,353.1,436.3,554.9,409.6,440,2193.9
160000844833,36,"F",3,1,31,"MG","C","A","C",1,1,1,1,1,353.1,618.6,619.5,435.2,580,2606.4
160004384873,19,"F",1,1,31,"MG","C","A","A",1,1,1,1,1,353.1,476.7,483.6,450.5,840,2603.9
160004677599,20,"F",3,2,31,"MG","L","A","A",1,1,1,1,1,353.1,490.6,485.4,367.1,520,2216.2
160005605169,18,"F",2,1,27,"AL","B","A","A",1,1,1,1,1,353.1,439.3,431.7,334.7,260,1818.8
160006908944,20,"M",3,1,29,"BA","B","A","A",1,1,1,1,1,353.1,467.4,527.3,463.8,600,2411.6
160006855519,17,"M",2,1,29,"BA","C","A","A",1,1,1,1,1,353.1,440.9,390.8,323.5,259,1767.3
160007073405,19,"F",1,1,31,"MG","B","A","A",1,1,1,1,1,353.1,471,422.4,456.1,460,2162.6
160007929922,27,"F",3,2,31,"MG","D","A","C",1,1,1,1,1,353.1,498.3,359.9,370.5,600,2181.8
160000408133,26,"M",1,1,29,"BA","C","A","C",1,1,1,1,1,353,361.4,400,355.5,300,1769.9
160000737494,18,"F",1,1,26,"PE","A","A","B",1,1,1,1,1,353,418.9,478,342.3,320,1912.2
160001606310,19,"F",2,1,33,"RJ","B","A","A",1,1,1,1,1,353,565.6,524.8,369.2,500,2312.6
160004151147,48,"M",3,1,29,"BA","D","A","A",1,1,1,1,1,353,514.2,462.8,372.3,80,1782.3
160004095079,36,"M",1,1,24,"RN","B","A","C",1,1,1,1,1,353,525.3,478.4,348.8,460,2165.5
160004242742,25,"F",3,1,31,"MG","C","A","B",1,1,1,1,1,353,519.4,467.2,478.2,660,2477.8
160004843040,46,"M",1,1,41,"PR","D","A","C",1,1,1,1,1,353,504,433.5,388.6,580,2259.1
160004924933,18,"F",2,1,31,"MG","B","A","A",1,1,1,1,1,353,394.7,389.1,441.8,420,1998.6
160005206768,29,"F",3,1,26,"PE","C","A","C",1,1,1,1,1,353,527.4,485.5,365,440,2170.9
160007363015,27,"M",1,1,41,"PR","B","A","B",1,1,1,1,1,353,477.4,436,482,340,2088.4
160000119735,20,"F",2,1,32,"ES","E","A","B",1,1,1,1,1,352.9,450.1,428.5,384,560,2175.5
160000209424,19,"F",2,2,31,"MG","D","A","B",1,1,1,1,1,352.9,572.3,524.7,377.7,660,2487.6
160000360442,26,"F",2,1,33,"RJ","C","A","A",1,1,1,1,1,352.9,469.3,468.8,528.9,420,2239.9
160002785193,19,"M",1,2,32,"ES","M","A","B",1,1,1,1,1,352.9,530.7,445.1,450.1,520,2298.8
160003117906,40,"M",1,1,52,"GO","F","A","A",1,1,1,1,1,352.9,530.4,420.2,328.5,460,2092
160003636517,26,"F",1,1,31,"MG","C","A","A",1,1,1,1,1,352.9,494.8,439.7,579.7,580,2447.1
160003992711,18,"F",2,1,29,"BA","A","A","A",1,1,1,1,1,352.9,476.3,474.3,339.7,560,2203.2
160005089969,30,"M",3,1,28,"SE","C","A","B",1,1,1,1,1,352.9,520.9,496.4,351.8,560,2282
160005101592,26,"M",3,1,43,"RS","I","A","B",1,1,1,1,1,352.9,377.6,490.8,493.2,400,2114.5
160006200835,18,"F",3,2,31,"MG","G","A","A",1,1,1,1,1,352.9,487.7,348.2,362.6,400,1951.4
160006152012,24,"F",2,1,29,"BA","B","A","A",1,1,1,1,1,352.9,454.6,463.7,366.9,420,2058.1
160006149647,19,"F",1,2,26,"PE","C","A","A",1,1,1,1,1,352.9,393.3,405.2,406,520,2077.4
160006740620,20,"M",1,2,25,"PB","B","A","A",1,1,1,1,1,352.9,498.4,455.2,398.1,420,2124.6
160007942169,23,"M",2,1,15,"PA","C","A","A",1,1,1,1,1,352.9,499,444.7,378.2,580,2254.8
160008327710,16,"F",1,1,41,"PR","B","A","B",1,1,1,1,1,352.9,503.2,518,454,480,2308.1
160008598733,20,"M",1,1,28,"SE","B","A","C",1,1,1,1,1,352.9,449.3,395.3,472.2,440,2109.7
160000113625,19,"F",3,1,27,"AL","A","A","A",1,1,1,1,1,352.8,432,416.3,531.9,480,2213
160001221634,18,"M",1,1,50,"MS","D","A","A",1,1,1,1,1,352.8,522,419.5,447.6,520,2261.9
160000237120,18,"F",2,2,32,"ES","C","A","A",1,1,1,1,1,352.8,524.3,528.8,347.1,540,2293
160001986117,18,"F",1,1,31,"MG","C","A","B",1,1,1,1,1,352.8,534.2,586.2,413.9,440,2327.1
160002723453,22,"F",1,1,29,"BA","C","A","A",1,1,1,1,1,352.8,519.3,411.2,405.5,460,2148.8
160003424166,19,"F",2,2,29,"BA","C","A","A",1,1,1,1,1,352.8,495.4,327.8,342.7,560,2078.7
160003390612,21,"F",1,1,41,"PR","B","A","B",1,1,1,1,1,352.8,507.2,446,483.7,480,2269.7
160003735226,20,"M",3,2,15,"PA","C","A","A",1,1,1,1,1,352.8,456.4,314.5,552.3,420,2096
160004470872,24,"F",1,1,15,"PA","B","A","C",1,1,1,1,1,352.8,389.9,386.7,359.6,340,1829
160005172727,22,"M",3,1,21,"MA","A","A","A",1,1,1,1,1,352.8,462.7,413.1,407.9,380,2016.5
160004985405,24,"M",3,1,31,"MG","C","A","B",1,1,1,1,1,352.8,484.4,461.7,524.2,480,2303.1
160005167525,27,"M",3,1,21,"MA","B","A","A",1,1,1,1,1,352.8,465.3,375.3,351.3,360,1904.7
160005318826,20,"F",2,1,24,"RN","C","A","A",1,1,1,1,1,352.8,421.2,487.4,369,560,2190.4
160005866958,18,"F",1,2,21,"MA","D","A","B",1,1,1,1,1,352.8,434.7,350.9,448.8,300,1887.2
160006106494,42,"F",3,1,25,"PB","C","A","C",1,1,1,1,1,352.8,458.3,412,369.5,720,2312.6
160005995579,16,"F",3,1,25,"PB","A","A","A",1,1,1,1,1,352.8,518,508.8,389.9,560,2329.5
160006340413,16,"F",2,2,29,"BA","B","A","A",1,1,1,1,1,352.8,479.7,460.4,328.7,280,1901.6
160006628915,19,"F",2,1,29,"BA","B","A","A",1,1,1,1,1,352.8,456.3,359,543.4,640,2351.5
160008550445,26,"M",3,1,17,"TO","B","A","A",1,1,1,1,1,352.8,434.1,332.1,344.6,420,1883.6
160002153260,16,"F",2,1,29,"BA","D","A","A",1,1,1,1,1,352.7,439.8,301.5,325.8,560,1979.8
160000272607,22,"M",1,1,41,"PR","B","A","B",1,1,1,1,1,352.7,518.9,407.7,457.9,440,2177.2
160001533395,21,"M",2,2,17,"TO","C","A","B",1,1,1,1,1,352.7,510.4,391,355.7,520,2129.8
160005254629,20,"F",3,1,31,"MG","E","A","A",1,1,1,1,1,352.7,424.7,493.2,324.2,540,2134.8
160005712450,18,"F",2,1,17,"TO","C","C","A",1,1,1,1,1,352.7,555.5,543.7,386.1,660,2498
160006279847,28,"F",3,1,29,"BA","B","A","B",1,1,1,1,1,352.7,518.1,494.8,436.1,600,2401.7
160006504523,19,"F",3,2,52,"GO","B","A","B",1,1,1,1,1,352.7,464,408.1,362,480,2066.8
160006216125,19,"F",1,1,29,"BA","B","C","B",1,1,1,1,1,352.7,481.1,461.5,454.7,560,2310
160007053525,18,"F",3,1,22,"PI","C","A","A",1,1,1,1,1,352.7,445.8,469.9,347.7,460,2076.1
