"NU_INSCRICAO","NU_IDADE","TP_SEXO","TP_COR_RACA","TP_ESCOLA","CO_UF_RESIDENCIA","SG_UF_PROVA","Q006","Q047","Q049","TP_PRESENCA_CN","TP_PRESENCA_CH","TP_PRESENCA_LC","TP_PRESENCA_MT","TP_STATUS_REDACAO","NU_NOTA_CN","NU_NOTA_CH","NU_NOTA_LC","NU_NOTA_MT","NU_NOTA_REDACAO","NOTA_FINAL_ENEM"
160005952961,21,"M",3,1,35,"BA","B","A","A",1,1,1,1,1,416.3,559.4,323.1,388.1,640,2326.9
160007287526,58,"F",2,1,29,"BA","B","A","A",1,1,1,1,1,455.1,455.1,323.1,353.5,400,1986.8
160008373191,17,"M",0,1,29,"BA","C","A","A",1,1,1,1,1,443.1,405.7,323.1,391.5,300,1863.4
160002815696,21,"M",3,1,29,"BA","B","A","B",1,1,1,1,1,445.8,373.2,323,444.1,560,2146.1
160000277893,25,"M",2,1,29,"BA","C","A","A",1,1,1,1,1,392.3,519.5,323,478.6,440,2153.4
160003002045,28,"M",2,1,29,"BA","C","A","A",1,1,1,1,1,447.8,515.4,323,438.4,460,2184.6
160005699953,23,"M",1,1,41,"PR","D","A","A",1,1,1,1,1,470.3,521.3,323,339.6,400,2054.2
160007253519,18,"M",3,1,29,"BA","D","E","A",1,1,1,1,1,438.3,374.3,323,413,500,2048.6
160005756886,23,"M",3,1,41,"PR","C","A","C",1,1,1,1,1,395.8,427.8,322.9,458.1,220,1824.6
160005652449,24,"F",2,1,41,"PR","C","A","B",1,1,1,1,1,457.6,417.4,322.9,352.1,480,2030
160006301542,27,"F",3,1,28,"SE","B","A","A",1,1,1,1,1,387.8,471.6,322.9,347.9,600,2130.2
160008096107,22,"F",3,1,41,"PR","C","A","C",1,1,1,1,1,427.3,495.9,322.9,399.5,460,2105.6
160003959378,18,"F",3,2,32,"ES","D","A","A",1,1,1,1,1,416,474,322.8,453.6,560,2226.4
160004403494,17,"F",3,3,32,"ES","G","C","A",1,1,1,1,1,513.6,555.5,322.8,672,560,2623.9
160005188394,21,"M",3,1,29,"BA","A","A","B",1,1,1,1,1,349.3,527.3,322.8,366,420,1985.4
160005279063,20,"M",3,1,29,"BA","B","A","B",1,1,1,1,1,392.9,376.3,322.8,417.1,500,2009.1
160006224072,23,"M",2,1,29,"BA","C","A","B",1,1,1,1,1,466.2,447.5,322.8,398.6,460,2095.1
160007519611,21,"F",2,1,26,"PE","B","A","A",1,1,1,1,1,403.5,463.8,322.8,477.3,400,2067.4
160008221997,25,"M",3,1,31,"MG","A","A","C",1,1,1,1,1,393.1,409.7,322.8,473.9,420,2019.5
160004257429,16,"F",1,1,52,"GO","B","A","A",1,1,1,1,1,459.2,563,322.7,438.6,380,2163.5
160004921673,21,"M",1,1,24,"RN","D","A","A",1,1,1,1,1,434,516,322.7,379.8,600,2252.5
160005095896,19,"F",3,2,31,"MG","C","A","C",1,1,1,1,1,366.7,437.6,322.7,332,460,1919
160005773483,21,"M",0,1,21,"MA","B","A","B",1,1,1,1,1,548.1,594.1,322.7,435.9,540,2440.8
160007874893,29,"F",2,1,29,"BA","B","A","B",1,1,1,1,1,499.6,551.7,322.7,356.1,520,2250.1
160008425388,28,"F",2,1,29,"BA","B","A","A",1,1,1,1,1,406.9,490.3,322.7,363.1,560,2143
160001910718,25,"M",3,1,32,"ES","D","A","C",1,1,1,1,1,351.9,475.5,322.6,417.9,334,1901.9
160002413950,18,"M",3,1,17,"TO","E","A","A",1,1,1,1,1,379.6,453.6,322.6,569.5,540,2265.3
160000307082,18,"M",2,1,52,"GO","F","A","A",1,1,1,1,1,433.7,431.7,322.6,541.4,560,2289.4
160004365456,18,"M",3,2,29,"BA","C","A","A",1,1,1,1,1,388.1,542.2,322.6,349.9,540,2142.8
160005084588,17,"M",1,1,25,"PB","B","A","A",1,1,1,1,1,498.8,487.1,322.6,422.9,480,2211.4
160006803037,20,"M",3,1,31,"MG","N","D","A",1,1,1,1,1,497.7,504.5,322.6,454,440,2218.8
160006838817,49,"F",2,1,29,"BA","C","A","B",1,1,1,1,1,396.8,525.4,322.6,388.1,580,2212.9
160007162946,18,"M",1,1,33,"RJ","O","D","A",1,1,1,1,1,371.4,541.4,322.6,507,500,2242.4
160007803007,34,"M",3,1,31,"MG","G","A","C",1,1,1,1,1,364.3,374.7,322.6,446.4,640,2148
160000078486,22,"M",2,1,29,"BA","B","A","C",1,1,1,1,1,367.6,393.3,322.5,342.2,300,1725.6
160001647707,44,"F",0,1,41,"PR","F","A","A",1,1,1,1,1,387.5,434.3,322.5,374.7,300,1819
160007340522,20,"F",3,1,31,"MG","E","A","A",1,1,1,1,1,418.9,537.6,322.5,691.5,740,2710.5
160008580102,22,"F",3,1,27,"AL","D","A","B",1,1,1,1,1,410.5,413.1,322.5,353.8,440,1939.9
160001304052,18,"M",3,1,53,"DF","C","A","A",1,1,1,1,1,401.1,508.2,322.4,396,580,2207.7
160002837307,18,"F",3,3,29,"BA","J","D","A",1,1,1,1,1,377.5,483,322.4,384,600,2166.9
160001567384,22,"M",3,1,15,"PA","B","A","B",1,1,1,1,1,364.5,558.4,322.4,454.1,480,2179.4
160002985725,17,"F",3,1,33,"RJ","D","A","B",1,1,1,1,1,434.6,372,322.4,437.2,480,2046.2
160004816391,35,"M",1,1,31,"MG","F","A","A",1,1,1,1,1,495,602.7,322.4,753.7,640,2813.8
160006595867,20,"F",2,1,25,"PB","D","A","A",1,1,1,1,1,403.8,377.1,322.4,340.2,440,1883.5
160008164473,25,"F",3,1,29,"BA","B","A","B",1,1,1,1,1,350,403.4,322.4,368.7,540,1984.5
160008432122,18,"F",3,1,31,"MG","B","A","A",1,1,1,1,1,369.1,421,322.4,410.9,560,2083.4
160002796611,21,"M",3,1,29,"BA","D","A","A",1,1,1,1,1,490.6,567,322.3,471.2,780,2631.1
160001359419,15,"M",3,1,41,"PR","E","A","A",1,1,1,1,1,389,475.7,322.3,322.4,480,1989.4
160002117350,27,"M",3,1,27,"AL","B","A","C",1,1,1,1,1,453.3,472.1,322.3,353.9,360,1961.6
160003979749,20,"F",1,2,21,"MA","B","A","C",1,1,1,1,1,352.3,471.3,322.3,435.6,400,1981.5
160005657908,17,"F",3,2,15,"PA","B","A","A",1,1,1,1,1,435.2,560,322.3,429.2,580,2326.7
160003215611,21,"M",1,1,41,"PR","C","A","C",1,1,1,1,1,355,417.3,322.2,379.9,260,1734.4
160004064832,40,"M",3,1,29,"BA","C","A","B",1,1,1,1,1,446.6,374,322.2,359.6,380,1882.4
160006100693,16,"F",3,1,22,"PI","B","A","A",1,1,1,1,1,371.3,450.5,322.2,357.9,520,2021.9
160007804710,16,"M",1,1,41,"PR","E","E","A",1,1,1,1,1,452.1,536.1,322.2,721,600,2631.4
160001898578,19,"F",3,1,29,"BA","B","A","A",1,1,1,1,1,384.8,436.9,322.1,436.8,600,2180.6
160008435590,33,"M",2,1,53,"DF","C","A","A",1,1,1,1,1,433.4,525.2,322.1,401.4,460,2142.1
160007164708,17,"M",3,2,15,"PA","B","A","C",1,1,1,1,1,406.5,382.6,322,497.7,580,2188.8
160008079593,18,"F",2,2,32,"ES","B","A","B",1,1,1,1,1,364.1,497.9,322,338.7,400,1922.7
160003875325,20,"M",3,3,53,"DF","H","B","A",1,1,1,1,1,499.6,594.6,321.9,631.3,320,2367.4
160003784436,19,"F",3,1,31,"MG","D","A","A",1,1,1,1,1,404.4,483.2,321.9,354.4,520,2083.9
160004560755,21,"F",3,1,21,"MA","B","A","C",1,1,1,1,1,385.8,405.9,321.9,363.8,360,1837.4
160005234475,29,"F",1,1,41,"PR","Q","A","A",1,1,1,1,1,535.3,481.9,321.9,439,540,2318.1
160005561407,22,"F",1,1,33,"RJ","D","A","C",1,1,1,1,1,396.5,418.9,321.9,399.8,380,1917.1
160000200269,17,"M",2,1,29,"BA","D","E","A",1,1,1,1,1,373.2,550.8,321.8,395.1,580,2220.9
160000712002,29,"M",3,1,27,"AL","B","A","B",1,1,1,1,1,358.8,425.1,321.8,348.7,480,1934.4
