"NU_INSCRICAO","NU_IDADE","TP_SEXO","TP_COR_RACA","TP_ESCOLA","CO_UF_RESIDENCIA","SG_UF_PROVA","Q006","Q047","Q049","TP_PRESENCA_CN","TP_PRESENCA_CH","TP_PRESENCA_LC","TP_PRESENCA_MT","TP_STATUS_REDACAO","NU_NOTA_CN","NU_NOTA_CH","NU_NOTA_LC","NU_NOTA_MT","NU_NOTA_REDACAO","NOTA_FINAL_ENEM"
160002015700,17,"F",3,2,31,"MG","B","A","B",1,1,1,1,1,407.8,453.3,493.5,323.5,420,2098.1
160003064465,39,"F",1,1,26,"PE","B","A","B",1,1,1,1,1,370,466.9,464.9,323.5,300,1925.3
160003260453,18,"F",3,1,52,"GO","C","A","B",1,1,1,1,1,452.3,425.9,441.3,323.5,440,2083
160003391855,40,"M",1,1,25,"PB","B","A","B",1,1,1,1,1,403.9,542.5,401,323.5,360,2030.9
160003223571,47,"F",2,1,28,"SE","C","A","C",1,1,1,1,1,441.7,542.8,505.7,323.5,660,2473.7
160003780819,31,"M",3,1,15,"PA","C","A","A",1,1,1,1,1,484.7,568.4,521.5,323.5,520,2418.1
160003650402,20,"M",3,1,31,"MG","I","A","B",1,1,1,1,1,436,461.4,405.4,323.5,540,2166.3
160003501522,18,"F",4,2,32,"ES","G","A","A",1,1,1,1,1,401,432.1,370.7,323.5,420,1947.3
160003822796,22,"F",3,1,15,"PA","C","A","B",1,1,1,1,1,495.9,497.2,473.6,323.5,720,2510.2
160003929350,21,"F",3,1,29,"BA","C","A","A",1,1,1,1,1,472.9,429.7,477.1,323.5,440,2143.2
160003939693,17,"M",1,2,41,"PR","C","A","A",1,1,1,1,1,514.8,560.2,343.6,323.5,480,2222.1
160004001459,20,"F",3,1,32,"ES","B","A","A",1,1,1,1,1,440.5,528.2,516.5,323.5,560,2368.7
160004549043,23,"F",3,1,29,"BA","B","A","B",1,1,1,1,1,376.5,497,438.9,323.5,400,2035.9
160004596967,17,"M",1,3,26,"PE","C","D","A",1,1,1,1,1,384.4,481.7,423,323.5,700,2312.6
160004466130,26,"F",3,1,21,"MA","G","A","A",1,1,1,1,1,394.7,484.1,517,323.5,460,2179.3
160005134177,44,"F",3,1,31,"MG","B","A","A",1,1,1,1,1,423.8,543.4,434.3,323.5,520,2245
160005466613,15,"F",3,1,29,"BA","B","A","A",1,1,1,1,1,489,513.6,380.5,323.5,480,2186.6
160005783100,25,"F",3,1,41,"PR","B","A","C",1,1,1,1,1,399.1,408.3,410.8,323.5,560,2101.7
160005722981,20,"M",3,1,27,"AL","B","A","A",1,1,1,1,1,446.4,476.6,378,323.5,520,2144.5
160006966409,17,"M",3,2,22,"PI","D","A","A",1,1,1,1,1,367.2,455.6,403.2,323.5,400,1949.5
160006855519,17,"M",2,1,29,"BA","C","A","A",1,1,1,1,1,353.1,440.9,390.8,323.5,259,1767.3
160007045173,65,"F",1,2,31,"MG","C","A","B",1,1,1,1,1,406.7,374.4,360.8,323.5,100,1565.4
160007068996,18,"F",1,1,31,"MG","D","A","A",1,1,1,1,1,427.1,445.6,433.7,323.5,460,2089.9
160007733424,33,"M",3,1,15,"PA","B","A","C",1,1,1,1,1,451.9,462.4,442.4,323.5,340,2020.2
160008561525,22,"M",3,1,27,"AL","B","A","C",1,1,1,1,1,361.7,519.4,454.2,323.5,580,2238.8
160001012161,28,"M",1,1,32,"ES","C","A","B",1,1,1,1,1,521.4,622.1,565.9,323.4,500,2532.8
160001658306,20,"F",3,1,41,"PR","C","A","A",1,1,1,1,1,376.9,517.5,505.7,323.4,480,2203.5
160000037573,39,"F",3,1,26,"PE","D","A","C",1,1,1,1,1,397.6,562.6,545,323.4,600,2428.6
160000181276,19,"F",2,1,32,"ES","B","A","B",1,1,1,1,1,414.4,612.4,492,323.4,640,2482.2
160000498706,34,"F",1,1,28,"SE","B","A","A",1,1,1,1,1,378.6,562.7,475.2,323.4,520,2259.9
160000281593,18,"F",3,1,31,"MG","B","A","B",1,1,1,1,1,415.9,472.6,486.7,323.4,400,2098.6
160002816794,23,"F",2,1,29,"BA","B","A","A",1,1,1,1,1,375.6,510.9,447,323.4,540,2196.9
