"NU_INSCRICAO","NU_IDADE","TP_SEXO","TP_COR_RACA","TP_ESCOLA","CO_UF_RESIDENCIA","SG_UF_PROVA","Q006","Q047","Q049","TP_PRESENCA_CN","TP_PRESENCA_CH","TP_PRESENCA_LC","TP_PRESENCA_MT","TP_STATUS_REDACAO","NU_NOTA_CN","NU_NOTA_CH","NU_NOTA_LC","NU_NOTA_MT","NU_NOTA_REDACAO","NOTA_FINAL_ENEM"
160001172341,18,"M",3,1,12,"AC","C","A","A",1,1,1,1,1,428.8,463.3,415,345.1,80,1732.2
160001460492,22,"M",3,1,23,"CE","C","A","A",1,1,1,1,1,424.9,447.6,431.1,500.6,80,1884.2
160001230169,18,"F",3,1,23,"CE","C","A","A",1,1,1,1,1,416.3,448,462.1,424.4,80,1830.8
160001183166,22,"F",2,1,29,"PE","C","A","C",1,1,1,1,1,375.6,504.9,392.1,464,80,1816.6
160001521282,42,"M",2,1,25,"PB","B","A","C",1,1,1,1,1,410.8,413,443,390.7,80,1737.5
160001049887,18,"M",3,1,23,"CE","B","A","A",1,1,1,1,1,449.9,446.2,469.2,433.6,80,1878.9
160001135350,17,"F",3,1,23,"CE","B","A","A",1,1,1,1,1,382.1,372.8,399.2,373.5,80,1607.6
160001535538,45,"F",3,1,15,"PA","C","A","C",1,1,1,1,1,404.3,439.1,394.9,411.4,80,1729.7
160001600946,17,"M",3,2,23,"CE","D","A","A",1,1,1,1,1,408.4,464,418.7,401.5,80,1772.6
160001343042,21,"F",5,1,13,"AM","A","A","C",1,1,1,1,1,430.9,355.1,488.4,503.3,80,1857.7
160001360274,18,"M",1,2,31,"MG","B","A","A",1,1,1,1,1,370,462.1,473.8,541.2,80,1927.1
160001144847,20,"F",3,2,23,"CE","B","A","A",1,1,1,1,1,406.2,390,441.5,391,80,1708.7
160001291066,20,"F",1,1,22,"PI","B","A","A",1,1,1,1,1,462.7,347.3,388.3,343.2,80,1621.5
160001306528,30,"M",3,1,29,"BA","A","A","B",1,1,1,1,1,424.5,469.6,417.4,377.6,80,1769.1
160001572785,21,"F",3,1,23,"CE","B","A","C",1,1,1,1,1,400.3,425.3,493,368.4,80,1767
160001046391,17,"M",3,1,23,"CE","B","A","A",1,1,1,1,1,437.8,336.5,479,416.5,80,1749.8
160001528556,24,"M",1,3,33,"RJ","F","D","A",1,1,1,1,1,421.1,383.8,439.6,439.1,80,1763.6
160001382388,22,"M",3,2,23,"CE","B","A","A",1,1,1,1,1,420.9,484.6,395.2,427,80,1807.7
160001492659,17,"M",3,1,28,"SE","I","D","A",1,1,1,1,1,420,529.8,378,396.1,80,1803.9
160001712142,27,"M",1,1,32,"ES","B","A","C",1,1,1,1,1,383,482.1,518.9,471.2,80,1935.2
160001542921,43,"F",3,2,26,"PE","B","A","C",1,1,1,1,1,414.4,425.7,426,391.6,80,1737.7
160001490602,22,"M",3,1,42,"SC","D","A","A",1,1,1,1,1,422.3,429.5,425.5,407.4,80,1764.7
160001771664,36,"M",3,1,24,"RN","C","A","C",1,1,1,1,1,462.7,470.7,508.5,411.5,80,1933.4
160001539698,58,"M",2,1,15,"PA","C","A","A",1,1,1,1,1,483.3,463,439.7,389.9,80,1855.9
160001691962,60,"F",2,2,31,"MG","B","A","C",1,1,1,1,1,403.2,399.9,432.6,436.7,80,1752.4
160001593462,21,"M",5,2,23,"CE","B","A","B",1,1,1,1,1,431.1,451,447.4,483.4,80,1892.9
160001393470,20,"M",3,2,23,"CE","B","A","A",1,1,1,1,1,466,413.9,429.7,517,80,1906.6
160001772470,18,"M",3,1,23,"CE","B","A","A",1,1,1,1,1,449.9,441.5,471,392.5,80,1834.9
160001398172,19,"M",3,2,23,"CE","B","A","A",1,1,1,1,1,478.6,439.7,442.9,364.8,80,1806
160002845308,29,"F",3,1,21,"MA","B","A","A",1,1,1,1,1,439.6,384.1,412.8,425,80,1741.5
160001390700,19,"F",3,2,26,"PE","B","A","A",1,1,1,1,1,426.8,389.8,397.6,408.8,80,1703
160002848928,18,"F",3,2,23,"CE","B","A","A",1,1,1,1,1,452.8,470.6,416,379.4,80,1798.8
160001796492,19,"M",3,2,23,"CE","B","A","B",1,1,1,1,1,527.9,374.7,441.4,446.4,80,1870.4
160001581230,20,"M",2,1,28,"SE","B","D","C",1,1,1,1,1,479.8,440.8,399.5,405,80,1805.1
160001738366,37,"M",3,1,28,"SE","C","A","C",1,1,1,1,1,432,428,473.2,411.4,80,1824.6
160001865693,24,"F",3,2,23,"CE","B","A","A",1,1,1,1,1,429.4,362.5,419.1,382,80,1673
160001867640,19,"F",2,2,35,"SP","C","A","A",1,1,1,1,1,498,398.1,475.9,350.5,80,1802.5
160001577761,32,"F",3,1,15,"PA","B","A","C",1,1,1,1,1,398.6,470.3,458.4,489.8,80,1897.1
160001779709,24,"M",3,1,27,"AL","B","A","A",1,1,1,1,1,384.1,344.7,403,407.2,80,1619
160001788062,18,"M",3,1,25,"PB","C","A","C",1,1,1,1,1,376.1,386.4,428.6,409.9,80,1681
160001973075,62,"M",3,1,52,"GO","B","A","C",1,1,1,1,1,412.1,364.2,363.7,386.7,80,1606.7
160001979952,17,"F",2,1,31,"MG","B","A","A",1,1,1,1,1,400.6,428.4,373.1,424.8,80,1706.9
160001545776,30,"M",3,1,15,"PA","B","A","C",1,1,1,1,1,457.6,540.6,420.6,377.3,80,1876.1
160001722705,18,"F",3,2,22,"PI","A","A","C",1,1,1,1,1,371.9,405.5,419.1,520.3,80,1796.8
160001860912,36,"M",3,1,24,"RN","B","A","B",1,1,1,1,1,431,428.5,478.8,383,80,1801.3
160001980426,18,"F",4,1,25,"PB","D","A","A",1,1,1,1,1,440.9,382.7,480.4,442.6,80,1826.6
160001743640,51,"M",3,1,31,"MG","C","A","C",1,1,1,1,1,395,408.5,420,376,80,1679.5
160002112094,34,"M",4,1,23,"CE","A","A","B",1,1,1,1,1,391.2,455.5,359.3,405.7,80,1691.7
160001767496,18,"M",3,2,23,"CE","A","A","A",1,1,1,1,1,447.3,402.7,431.9,361.1,80,1723
160002151314,59,"F",3,1,15,"PA","D","A","C",1,1,1,1,1,502.6,343.7,490.5,413,80,1829.8
160001859299,25,"M",3,1,22,"PI","B","A","A",1,1,1,1,1,458.1,393.6,391.5,426.9,80,1750.1
160001910171,17,"F",3,1,28,"SE","B","A","A",1,1,1,1,1,436.3,402.6,510.6,375.3,80,1804.8
160002306726,19,"F",3,1,23,"CE","B","A","C",1,1,1,1,1,430.3,387.8,393.4,349.3,80,1640.8
160002393499,33,"M",3,1,41,"PR","C","A","C",1,1,1,1,1,398.5,507,441.1,426.8,80,1853.4
160002422556,42,"M",3,1,12,"AC","B","A","A",1,1,1,1,1,404.6,423.5,493.7,522.4,80,1924.2
160002726533,17,"F",3,1,23,"CE","A","A","B",1,1,1,1,1,458.3,455.1,406.5,372.5,80,1772.4
160002939399,27,"F",1,1,35,"SP","C","D","A",1,1,1,1,1,533.3,611.5,633.9,703.3,80,2562
160003095455,24,"F",3,1,15,"PA","B","A","C",1,1,1,1,1,421.1,506.2,432.6,346.3,80,1786.2
160002870150,18,"M",1,2,31,"MG","F","A","B",1,1,1,1,1,394.6,429,496.1,507.1,80,1906.8
160002887351,20,"M",1,2,52,"GO","C","A","B",1,1,1,1,1,455.3,420.7,464.8,396.8,80,1817.6
160003054231,28,"F",3,1,29,"SE","B","A","C",1,1,1,1,1,483.5,452.3,445.7,451,80,1912.5
160002664734,37,"M",3,2,22,"PI","B","A","C",1,1,1,1,1,378.2,427.2,366.7,587.6,80,1839.7
